count,double_delay,double_harvest,double_plant,label,latitude,longitude,onset,single_delay,single_harvest,single_plant,total_planted_area_km2,year
2645,,,,13714920,-12.63932464,-59.85674336,50,,,,,2004
3080,,,,13861800,-12.8751324,-59.87470967,50,,,,,2004
3025,,,,13947480,-13.12441489,-59.87470967,50,,,,,2004
3080,,,,14204520,-13.37369738,-59.87470967,50,65.92417064,221.5192919,115.9241706,0.241774258,2004
3080,,,,15284880,-13.62522566,-59.87470967,50,41.34926593,219.5992659,91.34926593,0.241606422,2004
3025,,,,15393350,-13.87450815,-59.87470967,50,,,,,2004
3080,,,,16070450,-14.12379064,-59.87470967,50,,,,,2004
3080,,,,16169600,-14.37531892,-59.87470967,37,,,,,2004
3025,,,,16994600,-14.62460141,-59.87470967,37,,,,,2004
3080,,,,13952750,-14.87388391,-59.87470967,37,,,,,2004
3080,,,,14283500,-15.12541219,-59.87470967,37,,,,,2004
3025,,,,15152711,-15.37469468,-59.87470967,81,,,,,2004
3080,,,,15258600,-15.62397717,-59.87470967,81,,,,,2004
3080,,,,19099100,-15.87550545,-59.87470967,81,,,,,2004
2464,,,,6721600,-8.900087267,-59.62542717,36,,,,,2004
3136,,,,8934000,-9.124666088,-59.62542717,37,,,,,2004
3136,,,,6438000,-9.376194367,-59.62542717,37,,,,,2004
3080,,,,9698000,-9.625476859,-59.62542717,37,,,,,2004
3136,,,,18644300,-9.87475935,-59.62542717,46,,,,,2004
3136,,,,18185500,-10.12628763,-59.62542717,37,,,,,2004
3080,,,,18141100,-10.37557012,-59.62542717,37,,,,,2004
3136,,,,7922070,-10.62485261,-59.62542717,60,,,,,2004
3136,,,,13123234,-10.87638089,-59.62542717,58,,,,,2004
3080,,,,14259726,-11.12566338,-59.62542717,37,,,,,2004
3136,,,,14388597,-11.37494587,-59.62542717,38,,,,,2004
3136,,,,20343960,-11.62647415,-59.62542717,38,,,,,2004
3080,,,,19596852,-11.87575665,-59.62542717,50,,,,,2004
3136,,,,11630520,-12.12503914,-59.62542717,50,,,,,2004
3080,,,,8154080,-12.37432163,-59.62542717,58,,,,,2004
3136,,,,19105875,-12.62360412,-59.62542717,58,,,,,2004
3136,,,,16864680,-12.8751324,-59.62542717,58,,,,,2004
3080,,,,16197090,-13.12441489,-59.62542717,58,,,,,2004
3136,,,,14444373,-13.37369738,-59.62542717,50,,,,,2004
3136,62.71573341,218.1657334,112.7157334,14689532,-13.62522566,-59.62542717,50,57.15995708,224.0099571,107.1599571,0.241432008,2004
3080,,,,14367000,-13.87450815,-59.62542717,50,83.58435607,236.1001908,133.5843561,0.241334906,2004
3136,,,,15048000,-14.12379064,-59.62542717,50,,,,,2004
3136,,,,17397200,-14.37531892,-59.62542717,50,,,,,2004
3080,,,,17356900,-14.62460141,-59.62542717,37,,,,,2004
3136,,,,13685700,-14.87388391,-59.62542717,37,,,,,2004
3136,,,,14344750,-15.12541219,-59.62542717,37,,,,,2004
3136,,,,14239400,-15.62397717,-59.62542717,37,,,,,2004
3136,,,,17831200,-15.87550545,-59.62542717,37,,,,,2004
2464,,,,6187150,-8.900087267,-59.37389889,38,,,,,2004
3136,,,,9097900,-9.124666088,-59.37389889,38,,,,,2004
3136,,,,6653562,-9.376194367,-59.37389889,37,,,,,2004
3080,,,,6809400,-9.625476859,-59.37389889,37,,,,,2004
3136,,,,10838100,-9.87475935,-59.37389889,57,,,,,2004
3136,,,,8572824,-10.12628763,-59.37389889,57,,,,,2004
3080,,,,7784400,-10.37557012,-59.37389889,57,,,,,2004
3136,,,,7313280,-10.62485261,-59.37389889,37,,,,,2004
3136,,,,7537455,-10.87638089,-59.37389889,38,,,,,2004
3080,,,,14454531,-11.12566338,-59.37389889,58,,,,,2004
3136,,,,14529456,-11.37494587,-59.37389889,58,,,,,2004
3136,,,,21093205,-11.62647415,-59.37389889,38,,,,,2004
3080,,,,19868004,-11.87575665,-59.37389889,38,,,,,2004
3136,,,,21396752,-12.12503914,-59.37389889,58,,,,,2004
3080,,,,22727120,-12.37432163,-59.37389889,58,,,,,2004
3136,,,,18425680,-12.62360412,-59.37389889,58,,,,,2004
3136,,,,17014620,-12.8751324,-59.37389889,58,,,,,2004
3080,,,,15863652,-13.12441489,-59.37389889,50,,,,,2004
3136,32.53681335,197.2958514,82.53681335,15211770,-13.37369738,-59.37389889,50,63.56256393,219.5272464,113.5625639,0.241697234,2004
3136,46.32282956,204.9444579,96.32282956,10205865,-13.62522566,-59.37389889,50,68.2735315,224.2039956,118.2735315,0.241537375,2004
3080,52.32331079,215.0795847,102.3233108,16061500,-13.87450815,-59.37389889,50,65.49349546,224.0629513,115.4934955,0.241287242,2004
3136,,,,14655000,-14.12379064,-59.37389889,50,86.22665785,238.6350245,136.2266578,0.241115703,2004
3136,19.00674901,183.006749,69.00674901,16605000,-14.37531892,-59.37389889,50,72.34170657,226.4900992,122.3417066,0.240794734,2004
3080,,,,17381700,-14.62460141,-59.37389889,37,,,,,2004
3136,,,,13898850,-14.87388391,-59.37389889,37,99.93873781,228.1387378,136.9387378,0.240083,2004
3136,,,,14236950,-15.12541219,-59.37389889,37,,,,,2004
6160,,,,15508500,-15.37469468,-59.49966303,81,,,,,2004
3136,,,,14065450,-15.62397717,-59.37389889,37,,,,,2004
3136,,,,23462784,-15.87550545,-59.37389889,37,,,,,2004
2420,,,,6041280,-8.900087267,-59.1246164,38,,,,,2004
3080,,,,8357760,-9.124666088,-59.1246164,38,,,,,2004
3080,,,,6393600,-9.376194367,-59.1246164,38,,,,,2004
3025,,,,6867200,-9.625476859,-59.1246164,38,,,,,2004
3080,,,,9088000,-9.87475935,-59.1246164,38,,,,,2004
3080,,,,7837440,-10.12628763,-59.1246164,57,,,,,2004
3025,,,,7439640,-10.37557012,-59.1246164,38,,,,,2004
3080,,,,16337376,-10.62485261,-59.1246164,38,,,,,2004
3080,,,,6771600,-10.87638089,-59.1246164,38,,,,,2004
3025,,,,7788870,-11.12566338,-59.1246164,38,,,,,2004
3080,,,,13459527,-11.37494587,-59.1246164,38,,,,,2004
3080,,,,14757228,-11.62647415,-59.1246164,58,,,,,2004
3025,,,,14229756,-11.87575665,-59.1246164,38,,,,,2004
3080,,,,22526712,-12.12503914,-59.1246164,58,,,,,2004
3025,,,,22262344,-12.37432163,-59.1246164,58,,,,,2004
3080,,,,21308196,-12.62360412,-59.1246164,58,,,,,2004
3080,,,,21361656,-12.8751324,-59.1246164,58,,,,,2004
3025,50.8225257,214.2725257,108.8225257,17472000,-13.12441489,-59.1246164,58,67.61962768,230.9531187,125.6196277,0.241929141,2004
3080,41.77085377,201.6238088,91.77085377,10686780,-13.37369738,-59.1246164,50,69.13850287,222.6848335,119.1385029,0.241710469,2004
3080,30.21704043,199.2204722,80.21704043,14389440,-13.62522566,-59.1246164,50,68.22532651,223.1294065,118.2253265,0.241541844,2004
3025,42.45040308,203.3672851,92.45040308,16357692,-13.87450815,-59.1246164,50,65.6223419,224.6638975,115.6223419,0.241289516,2004
3080,50.65337381,209.4450547,100.6533738,16478000,-14.12379064,-59.1246164,50,58.32660505,216.1812581,108.326605,0.241004844,2004
3080,41.91290627,220.1629063,91.91290627,16448600,-14.37531892,-59.1246164,50,60.03781845,218.494489,110.0378185,0.240855734,2004
3025,,,,13920900,-14.62460141,-59.1246164,50,,,,,2004
3080,,,,13825350,-14.87388391,-59.1246164,37,,,,,2004
3080,,,,8951250,-15.12541219,-59.1246164,36,,,,,2004
3025,,,,9510600,-15.37469468,-59.1246164,36,,,,,2004
3080,,,,21742500,-15.62397717,-59.1246164,37,,,,,2004
3080,,,,21738750,-15.87550545,-59.1246164,37,,,,,2004
2464,,,,7185696,-8.900087267,-58.87533391,39,,,,,2004
3136,,,,8344320,-9.124666088,-58.87533391,38,,,,,2004
