system:index,Muni_code,count,double_area_km2,double_delay,double_harvest,double_plant,label,latitude,longitude,onset,onset_historicalRange,single_area_km2,single_delay,single_harvest,single_plant,total_planted_area_km2,year
0_+2830+3450,5103254,25,,,,,5764500,-9.248184439,-61.58600028,34,43,,,,,,2004
0_+2838+3367,5103254,113,,,,,7717572,-8.861908867,-61.5635424,35,42,,,,,,2004
0_+2838+3394,5103254,25,,,,,7717572,-8.99665616,-61.51413506,35,42,,,,,,2004
0_+2838+3450,5103254,476,,,,,5764500,-9.23470971,-61.54557609,34,43,,,,,,2004
0_+2838+3506,5103254,1130,,,,,9883230,-9.481746413,-61.61294974,34,38,,,,,,2004
0_+2838+3522,5103254,81,,,,,10138590,-9.562594789,-61.53659294,34,38,,,,,,2004
0_+2838+3532,5103254,3,,,,,10138590,-9.616493706,-61.50066033,34,38,,,,,,2004
0_+2838+3561,5103254,135,,,,,10138590,-9.746749422,-61.5635424,34,38,,,,,,2004
0_+2838+3617,5103254,335,,,,,10613916,-9.993786125,-61.53210137,37,35,,,,,,2004
0_+2838+3673,5107578,947,,,,,10595097,-10.24082283,-61.58150871,37,35,,,,,,2004
0_+2838+3702,5107578,239,,,,,10741467,-10.34412909,-61.55905082,37,35,,,,,,2004
0_+2838+3837,5107578,221,,,,,15806838,-10.98193294,-61.52760979,37,30,,,,,,2004
0_+2893+3394,5103254,2429,,,,,6852768,-8.987673007,-61.48269402,35,42,,,,,,2004
0_+2893+3450,5103254,3080,,,,,7541100,-9.239201286,-61.4871856,34,43,,,,,,2004
0_+2893+3506,5103254,3080,,,,,9500190,-9.490729566,-61.4871856,34,38,,,,,,2004
0_+2893+3561,5103254,2997,,,,,10102680,-9.737766269,-61.48269402,34,38,,,,,,2004
0_+2893+3617,5103254,3080,,,,,17958705,-9.989294549,-61.4871856,37,35,,,,,,2004
0_+2893+3673,5105416,3080,,,,,18003906,-10.24082283,-61.4871856,37,37,,,,,,2004
0_+2893+3728,5107578,2888,,,,,17777901,-10.48785953,-61.47820245,37,34,,,,,,2004
0_+2893+3784,5107578,2873,,,,,18003906,-10.73938781,-61.4692193,37,34,,,,,,2004
0_+2893+3837,5107578,2871,,,,,15436884,-10.97744136,-61.48269402,36,31,,,,,,2004
0_+2949+3394,5103254,2520,,,,,6637536,-8.987673007,-61.2401489,35,44,,,,,,2004
0_+2949+3450,5103254,3136,,,,,7480224,-9.239201286,-61.2401489,35,38,,,,,,2004
0_+2949+3506,5103254,3136,,,,,10047276,-9.490729566,-61.2401489,34,38,,,,,,2004
0_+2949+3561,5103254,3080,,,,,17871780,-9.737766269,-61.2401489,37,35,,,,,,2004
0_+2949+3617,5103254,3136,,,,,18083877,-9.989294549,-61.2401489,37,35,,,,,,2004
0_+2949+3673,5107578,3136,,,,,18049107,-10.24082283,-61.2401489,37,34,,,,,,2004
0_+2949+3728,5107578,3080,,,,,18108216,-10.48785953,-61.2401489,37,34,,,,,,2004
0_+2949+3784,5107578,3136,,,,,16152312,-10.73938781,-61.2401489,37,34,,,,,,2004
0_+2949+3838,5107578,2995,,,,,15172347,-10.97744136,-61.2401489,36,31,,,,,,2004
0_+3005+3394,5103254,2520,,,,,7471332,-8.987673007,-60.98862062,35,51,,,,,,2004
0_+3005+3450,5103254,3136,,,,,9297612,-9.239201286,-60.98862062,35,37,,,,,,2004
0_+3005+3506,5103254,3136,,,,,10381638,-9.490729566,-60.98862062,35,37,,,,,,2004
0_+3005+3561,5103254,3080,,,,,10503093,-9.737766269,-60.98862062,35,37,,,,,,2004
0_+3005+3617,5103254,3136,,,,,15862989,-9.989294549,-60.98862062,37,37,,,,,,2004
0_+3005+3673,5107578,3136,,,,,15713661,-10.24082283,-60.98862062,37,33,,,,,,2004
0_+3005+3728,5107578,3080,,,,,16018539,-10.48785953,-60.98862062,37,33,,,,,,2004
0_+3005+3784,5107578,3136,,,,,15088350,-10.73938781,-60.98862062,36,31,,,,,,2004
0_+3005+3837,5107578,2968,,,,,14519037,-10.97744136,-60.98862062,36,31,,,,,,2004
0_+3060+3394,5103254,2475,,,,,5692800,-8.987673007,-60.73709234,35,45,,,,,,2004
0_+3060+3450,5103254,3080,,,,,7983648,-9.239201286,-60.73709234,35,32,,,,,,2004
0_+3060+3506,5101407,3080,,,,,7601856,-9.490729566,-60.73709234,32,37,,,,,,2004
0_+3060+3561,5101407,3025,,,,,10059801,-9.737766269,-60.73709234,32,37,,,,,,2004
0_+3060+3617,5101407,3080,,,,,18458634,-9.989294549,-60.73709234,32,50,,,,,,2004
0_+3060+3673,5101407,3080,,,,,19134180,-10.24082283,-60.73709234,37,45,,,,,,2004
