system:index,Muni_code,double_area_km2_sum,double_delay_median,double_harvest_median,double_plant_median,latitude_median,longitude_median,muni_area_km2,onset_historicalRange_median,onset_median,single_area_km2_sum,single_delay_median,single_harvest_median,single_plant_median,total_planted_area_km2_sum,year_median
2_0_0000345cf55fda086442,5106174,0.241353016,57.45925527,227.9092553,122.4592553,-14.2136398,-51.87521206,4051.919359,46,66,0.482741891,77.98917667,246.4391767,140.9891767,0.724094906,2004
2_0_00007f48dd4b4caa1456,5100201,1.929588438,57.80209142,226.7520914,121.3020914,-13.98230599,-52.48830834,7538.979584,46,65,14.83627315,54.93842773,228.3768869,117.9130833,16.76586159,2004
2_0_0000dcf1e0a383eb6653,5106257,6.966711297,70.42721659,246.878641,135.4272166,-14.62010984,-52.47259172,5564.129906,58,65,11.68363804,64.29883772,241.5700222,129.2988377,18.65034934,2004
2_0_0000c2e06bcf0cbd8141,5102603,0,,,,-14.41125129,-53.14183661,5988.885858,30,64,1.68338,70.06580294,240.5158029,135.0658029,1.68338,2004
2_0_00002b1c631d7df522ac,5106281,27.82848214,60.07021321,233.0232632,127.0084904,-15.08723379,-53.23842597,5052.617025,57,65,98.96036494,63.50101179,232.785115,124.2019086,126.7888471,2004
2_0_00002a12eb64652d6054,5103908,33.40786563,58.41789157,221.4194322,113.4178916,-15.55884931,-53.44052788,3807.41337,57,55,86.90622254,70.32821982,231.7129942,125.3282198,120.3140882,2004
2_0_0000a018b45735917b0b,5108105,11.46217305,36.41819268,200.1247229,91.41819268,-15.90470069,-53.44726381,4202.709936,54,55,41.96276811,68.18361661,231.3115703,126.1298438,53.42494116,2004
2_0_0000743392f358eccf24,5107008,32.66228249,65.24451522,228.1924093,120.2445152,-15.86201796,-54.18388234,6923.361049,54,55,27.83834649,66.4848918,229.2538577,121.4848918,60.50062898,2004
2_0_000098e15ac276eba6e3,5107040,123.6686702,40.66891321,209.2642124,95.66891321,-15.08947641,-54.2108318,5500.578559,69,55,292.1150914,68.7951165,227.2280708,123.7951165,415.7837616,2004
2_0_0000bdb8fec2bec935ec,5107792,43.71330472,59.39770737,224.1523122,119.2991593,-14.83121393,-53.66735105,3613.549184,69,55,112.5893382,65.19610001,227.2775569,121.8061567,156.3026429,2004
2_0_0000d9cc9ac264951505,5106455,0,,,,-14.60214353,-54.69143048,2464.97329,66,55,0.240548281,69.33670119,229.7867012,124.3367012,0.240548281,2004
2_0_00000299a420bcda4d53,5106208,0,,,,-14.7997729,-55.02601849,3274.985713,53,55,0.501676034,72.93198995,233.3819899,127.9319899,0.501676034,2004
2_0_000048f95e9d96881972,5107701,0.236793769,52.7093702,216.1593702,110.7093702,-14.77059852,-55.99189482,7543.432493,50,55,0.961668031,49.00454634,220.7378407,104.5045463,1.1984618,2004
2_0_0000a943d8e067a6b312,5106224,667.9320162,23.74965625,196.2390427,80.26842461,-13.65216917,-56.0972939,9579.93819,30,56,197.0739832,50.74286681,215.2190415,106.7545252,865.0059994,2004
2_0_0000f9c4c9a4c7914235,5105903,4.082276461,45.92528851,209.3752885,103.9252885,-14.35510683,-55.80759064,3918.843258,53,58,7.372465561,67.24534465,228.9126674,125.2453447,11.45474202,2004
2_0_000003d8fa3e919cc214,5103007,3.592829734,31.58677914,199.5867791,83.93859872,-15.09836622,-55.5425929,6511.484888,32,55,18.78685461,65.70403956,225.2964434,118.7576454,22.37968434,2004
2_0_00009f0e64f54ee33690,5102678,57.86399751,44.31187572,207.721536,98.6388323,-15.32528734,-54.98112326,4799.235579,50,54,289.0074123,64.45237105,224.5875051,119.4977584,346.8714098,2004
2_0_000092dbc2173f3f1483,5107800,7.219901458,71.77318855,226.5341451,125.985485,-16.47289897,-55.42581642,12183.40404,39,55,68.49725523,69.54535254,228.4775309,123.5665373,75.71715669,2004
2_0_0000b869feffefcd5395,5103601,17.48644944,37.75190019,203.6776516,92.77596742,-15.65317242,-54.77227885,2211.036023,35,55,14.13378683,58.68923973,225.1126869,113.276532,31.62023627,2004
2_0_0000eba7d3dfdfd50375,5107602,36.09764539,61.27903658,216.2317298,116.2790366,-16.48860563,-54.68244732,4172.692801,35,55,169.3809411,69.75739133,228.2387252,124.7573913,205.4785865,2004
2_0_000008047e70a3f69008,5105200,3.103058203,45.40135943,223.9805641,99.40135943,-16.17419528,-54.94745033,2275.848781,32,54,41.54663633,71.73352621,230.8666181,125.7335262,44.64969453,2004
2_0_0000816d7b8f4e1759dd,5104807,4.77997375,63.41166261,222.8616626,117.4116626,-15.91368385,-55.10914708,1682.809519,27,54,35.21170362,68.66042091,228.1505653,122.6604209,39.99167737,2004
2_0_000048959ee3b55d9f95,5104609,49.86080447,74.27212169,235.5238259,129.2721217,-17.33751357,-54.60384474,8750.970009,42,55,315.0466935,72.21636116,231.2445565,127.2163612,364.907498,2004
2_0_00004813377b4c00da4d,5106372,13.85157409,84.55988149,238.8736371,139.5598815,-16.79403283,-54.25574756,4122.319679,48,55,54.86619634,76.17900543,236.6466209,131.1790054,68.71777043,2004
2_0_000013b83de316c86a40,5104203,9.545317393,66.35586078,227.2903468,121.3558608,-16.38529937,-53.59772354,5080.158715,52,55,108.6730597,67.25144705,233.8307703,123.8722313,118.2183771,2004
2_0_0000282e266c3d805111,5100409,33.11662762,65.2323584,221.6577917,120.2323584,-16.89733908,-53.5820111,3760.25818,52,55,152.7785758,73.55013202,229.8067535,128.550132,185.8952035,2004
2_0_00006363eaf98e56d147,5100300,5.225125738,63.12487551,230.5513863,118.1248755,-17.43407989,-53.47421327,5531.80258,52,55,24.90261496,67.92282246,230.1879212,122.9228225,30.1277407,2004
2_0_00005aa29eda6c0c5b8e,5100607,20.23729409,57.88338513,222.9450408,119.8068094,-17.83158698,-53.29904179,1420.760297,52,62,147.9437124,60.21169897,227.7486909,121.2412523,168.1810065,2004
2_0_00005198152ed9cc0c18,5106752,0,,,,-15.59029035,-59.42555202,8587.818825,56,37,0.240083,99.93873781,228.1387378,136.9387378,0.240083,2004
2_0_0000785b8f5270ce2002,5106182,0.240757062,25.6794969,189.6794969,75.6794969,-14.28773318,-59.73774507,4751.907204,42,50,2.648403187,71.23847615,226.6884761,121.2384761,2.88916025,2004
2_0_00002237f8672488e11b,5102686,174.0957462,36.7440086,202.2809267,86.7440086,-13.58928631,-59.19199005,6826.707614,44,50,232.645355,65.49796732,221.22028,115.5056569,406.7411013,2004
2_0_00001be8c299f34ef885,5107958,7.142586143,49.27792556,212.1393035,106.6893035,-14.45392151,-58.36328985,11367.3752,40,50,80.40226349,62.75183601,223.2498933,117.8753688,87.54484963,2004
2_0_000087bfe419fe4d9583,5108352,0,,,,-14.93002861,-58.95842808,1939.944373,36,50,1.580723579,65.8898733,221.3398733,115.8898733,1.580723579,2004
2_0_0000863b68e3034c36f8,5101704,0,,,,-14.86265497,-58.73834083,625.9854241,32,50,0.90729289,71.2503253,226.7003253,121.2503253,0.90729289,2004
2_0_00009392e0f905f92532,5108352,0,,,,-14.59540617,-58.75630714,0.048812937,28,50,0.022636687,68.96236264,224.4123626,118.9623626,0.022636687,2004
2_0_0000f433f0ffc8c197c6,5102637,241.2292045,39.4415173,205.7274926,93.52221602,-13.66114864,-57.93210245,9469.670153,37,58,345.9266719,63.47266986,223.503008,116.4344365,587.1558763,2004
2_0_00004f3f005484984a0c,5101704,0,,,,-15.07375906,-57.41108336,5455.744828,48,56,0.959932625,73.73672695,235.1867269,129.7367269,0.959932625,2004
2_0_000059430e74fbb945ef,5106232,0,,,,-14.79078974,-57.37739318,1555.385821,28,37,0.082974688,49.38314971,200.3831497,86.38314971,0.082974688,2004
2_0_00006e98dd45959364af,5108857,3.350559283,53.35030307,213.8003031,108.3503031,-14.28773318,-57.24264588,1946.604291,73,37,3.724855431,70.11175866,230.6318251,125.1117587,7.075414715,2004
2_0_0000668d9233573f1564,5103502,153.870756,58.2545293,205.7495077,97.7797778,-14.07439342,-56.74633023,8262.06806,39,37,331.7737743,75.28143737,222.5022646,114.7375313,485.6445303,2004
2_0_0000564e8393dce4a58c,5106000,2.216491198,56.5433568,198.9933568,93.5433568,-14.3416321,-56.72162302,1353.741965,32,37,10.84525595,66.75479433,216.0277953,103.7547943,13.06174714,2004
2_0_0000627b5e81134f6874,5101308,0,,,,-14.50782043,-56.86535346,418.5709163,73,37,0.240733484,64.11123733,206.5612373,101.1112373,0.240733484,2004
2_0_00005e6885c44ea9c547,5103452,0,,,,-14.7234161,-56.96416815,1312.413078,54,37,0.240370531,107.348863,249.798863,144.348863,0.240370531,2004
2_0_0000341abda13a80eda4,5100508,0,,,,-14.76384028,-56.65424937,1852.614004,42,37,3.904527466,60.73168302,223.9401676,97.73168302,3.904527466,2004
2_0_000024ccb27646b24503,5105622,0,,,,-15.68461345,-58.04214649,1081.322401,55,56,0.239231547,71.59555487,233.0455549,127.5955549,0.239231547,2004
2_0_0000cf3f2c3e9fefa763,5103437,0,,,,-15.60825665,-57.87146658,359.6984181,55,56,0.239518266,71.76336806,233.2133681,127.7633681,0.239518266,2004
2_0_000051cedcd395e277f3,5105259,702.8842121,28.25063051,187.7225818,71.79527243,-13.02110863,-56.14220966,3677.019293,30,38,51.60362076,34.73216952,194.8079841,78.25701125,754.4878328,2004
2_0_0000da5f1af3773087cb,5108006,138.277961,39.68344269,194.2859471,77.6936577,-12.55847626,-56.52848523,4528.999824,30,38,51.98426072,58.2960206,207.2779596,95.07766207,190.2622217,2004
2_0_0000aff78e883355f0d1,5107305,21.17950334,64.30181977,206.8716961,101.3018198,-13.59153884,-56.80247139,4553.800462,39,37,80.42434797,78.23555398,223.6981247,115.235554,101.6038513,2004
2_0_000011f6dc31e15bd13c,5108907,4.652973584,57.76594919,205.2524091,94.76594919,-12.7897831,-57.22917115,11600.69677,35,37,32.76916693,82.78317341,227.538512,119.7831734,37.42214052,2004
2_0_0000a86819e5126f8698,5107875,456.3830719,32.23776621,200.7352188,85.50651858,-13.18052324,-58.65300088,13674.40361,40,58,364.0207503,58.50562522,222.4988211,115.5099667,820.4038222,2004
2_0_00000ec96abe580d125b,5101902,57.8583028,40.69829838,207.2720936,98.69829838,-12.49110199,-58.04440499,16019.59576,35,38,171.4212269,60.53492728,225.6985917,118.5249805,229.2795297,2004
2_0_000032c4db2beeb1dd6f,5104542,3.87021538,45.9136536,199.2096747,82.9136536,-12.13626808,-56.76653878,2908.76645,39,37,4.401317289,63.91687718,208.5832516,101.9168772,8.271532669,2004
2_0_0000d997b6c9dc0ec941,5106802,42.6114763,38.80083954,192.2990559,76.66533227,-11.72753462,-56.75531256,6889.705692,55,37,15.10323095,60.04496988,210.5563055,98.05127524,57.71470725,2004
2_0_0000937ef488606059a5,5107941,28.14838436,29.22454175,189.6430655,74.22454175,-11.26939383,-56.55094311,8480.919127,55,37,19.14365766,63.38469994,212.7580639,104.8344894,47.29204202,2004
2_0_0000dd9c18725a871edb,5104526,235.7630037,37.77170632,195.2578033,75.70002535,-12.04418996,-56.05237813,3479.762152,48,37,54.49697723,66.89178864,216.1851235,106.3028449,290.259981,2004
2_0_0000308f6fd94af9283d,5106216,0,,,,-10.70794678,-56.03666574,5990.075542,40,45,0.244348016,12.30911466,194.1091147,57.30911466,0.244348016,2004
2_0_00002a774448b37a4406,5103304,1.948497368,56.29002005,217.5092288,106.2900201,-13.21649586,-59.74668519,21671.89884,26,50,7.396125657,75.43543282,228.8116272,125.4354328,9.344623026,2004
2_1_00005aff5522742dc03f,5106265,0.244777875,30.45725482,188.4572548,74.45725482,-9.728783116,-55.38762482,5815.080394,40,44,1.223527813,42.62060192,213.0963396,90.62060192,1.468305688,2005
2_1_0000f5028d3da3fc2087,5105606,0.489185219,27.28057192,200.6805719,75.28057192,-10.0746345,-54.3253825,5260.6138,29,49,0.978210422,12.8874583,197.6874583,60.8874583,1.467395641,2005
2_1_0000445524ee4146d4f1,5106422,0,,,,-10.17570512,-53.50789511,14315.11726,29,49,0.244527578,31.15179497,210.251795,79.15179497,0.244527578,2005
2_1_0000cb2a646329481516,5107743,0,,,,-10.08361765,-52.53996537,5675.223313,43,52,0.733785875,84.74384685,254.6486772,136.7438469,0.733785875,2005
2_1_0000dc2d69eb619ae00f,5105580,0.48769325,38.0875818,187.6875818,85.0875818,-10.87862668,-54.08955924,12330.14829,39,47,0.243806547,47.84230486,217.1423049,108.8423049,0.731499797,2005
2_1_00004234272352c5d97d,5107354,0,,,,-10.69447205,-52.60733902,7489.749363,43,56,4.635786203,71.96662996,229.26663,120.96663,4.635786203,2005
2_1_0000137f8185e9645862,5107859,2.129653286,35.2749714,205.2749714,91.50226482,-11.45578641,-52.11790079,16781.53295,43,59,26.54806961,61.44661224,231.1029625,118.1695282,28.6777229,2005
2_1_0000c9cd78e3dc7229b5,5106190,0.31951825,57.2469362,212.5469362,104.2469362,-10.89210141,-54.88905984,2368.957071,40,47,2.118116098,60.43117945,217.3824607,107.4311795,2.437634349,2005
2_1_0000e355c6d9aabfc531,5108055,0.244327438,35.18149793,218.9814979,82.18149793,-10.51031741,-54.98787452,2573.023626,40,47,0.733156359,34.69677442,208.5746962,82.69677442,0.977483797,2005
2_1_0000a7c339266c34043a,5108808,1.222738266,69.3241706,227.124825,113.3241706,-10.29023017,-55.3337259,1118.405318,40,48,1.711396141,52.20284092,221.8842641,100.2028409,2.934134406,2005
2_1_0000c783ea68e049a389,5104559,2.768129378,59.08524947,217.7361254,107.0852495,-11.1032055,-55.59647456,4549.253985,54,48,7.407027943,63.23592257,223.367243,111.2359226,10.17515732,2005
2_1_00006a1dc3eec8d9b903,5103056,15.03374955,41.77721444,203.1870657,90.60786857,-11.44007373,-55.03728186,3866.018161,47,47,34.08741493,53.22145923,216.698005,101.5938891,49.12116448,2005
2_1_000091b0220c7f13a109,5107909,161.3573055,34.22898307,198.7280905,85.76026303,-11.71405989,-55.50440581,3957.450188,47,48,57.84244125,45.68559385,211.6999955,94.75963008,219.1997467,2005
2_1_00001c54c272496761e1,5107248,36.70720363,25.89789226,200.8361606,84.78366655,-11.94313029,-54.92724197,3870.366973,47,61,19.0502378,45.23895556,216.7727851,105.091961,55.75744143,2005
2_1_0000212db09c736a9e89,5108303,0,,,,-11.51193896,-54.33659594,4600.237578,46,61,1.704262516,58.8930983,232.5096892,119.8930983,1.704262516,2005
2_1_0000ca93741c12e7e196,5103700,2.66891575,25.67608282,205.5683831,94.67608282,-11.97233355,-54.08505354,11507.3391,47,61,6.313470594,44.40308392,214.3939136,106.0939136,8.982386344,2005
2_1_000019f0640d85df838c,5106240,164.205845,25.32488048,205.5838961,93.20998634,-12.97393351,-54.78350276,12754.7676,50,69,273.4451052,40.70303555,223.2248201,108.2344916,437.6509502,2005
2_1_00003435e1fc974d5667,5108501,149.053304,22.16958904,200.243626,85.23728623,-12.41025424,-55.35618379,2973.7934,35,61,45.87870985,33.23876623,211.6842861,95.79517199,194.9320139,2005
2_1_0000c701db318caaec1e,5107925,1461.228613,22.5258527,199.7884709,84.48484156,-12.76285643,-55.70652675,9367.02827,46,68,336.507437,39.42466758,216.3335093,101.4642029,1797.73605,2005
2_1_0000ea6b0f20abd21433,5107768,202.2973569,15.42836238,201.2796517,84.46490893,-13.85205027,-55.30228487,4749.942567,54,69,214.6542614,35.43229493,220.2555618,104.489651,416.9516183,2005
2_1_00001e852d0dd44144a7,5106307,1.207519609,64.88063239,224.0806324,129.7605519,-13.86779518,-54.12100027,24256.23226,57,59,46.75787357,61.13081914,230.0895172,121.1521903,47.96539318,2005
2_1_0000ef331a3022791b58,5103858,4.105900063,18.6454404,201.3265636,86.6454404,-13.01886186,-53.4495119,16994.20033,43,68,40.35125827,47.77858735,229.8080605,111.2448082,44.45715833,2005
2_1_0000e0b247e362c9b125,5102702,34.83997964,24.77880622,207.2004606,92.80551719,-13.39615912,-52.48831705,10923.81367,43,68,58.28652138,42.87607006,226.6400845,109.6900772,93.12650102,2005
2_1_0000cf70af7797718866,5107065,17.21876686,43.35865259,222.7504382,105.3581768,-12.11828865,-52.71513685,17853.17773,43,61,151.6072211,58.73667376,231.1638061,120.76883,168.825988,2005
2_1_000015e17b8b0f516065,5102694,0.487780281,23.50411264,195.5041126,81.50411264,-11.18854545,-51.82131314,3466.503525,42,59,2.68081425,79.03009797,245.5542411,138.030098,3.168594531,2005
2_1_000019667622f6247e03,5106778,0.487845281,27.0789225,199.0789225,85.0789225,-10.83371092,-51.74718826,3988.122068,43,58,0.243919031,83.34248027,232.5424803,141.3424803,0.731764313,2005
2_1_000059bee336417acb78,5100359,0.061058776,45.33848338,212.6384834,104.3384834,-11.81287458,-51.71800689,2249.210563,42,59,0.243292625,68.73130494,236.0313049,127.7313049,0.304351401,2005
2_1_00005dc1cc26de2258d0,5107883,0,,,,-12.01499551,-51.3541892,1506.275017,41,67,1.700826969,76.46874661,236.5558404,140.4241802,1.700826969,2005
2_1_00000270ecad8c7396c6,5101852,0.727985266,54.18760368,224.6154956,117.1876037,-12.21711645,-51.7539395,4290.761587,41,61,14.07741536,58.51019612,228.7672093,120.9716239,14.80540062,2005
2_1_0000599325b905cc7a0c,5107180,0.242313594,52.12117997,229.12118,115.12118,-12.86166431,-51.56753413,11398.41663,30,69,19.15897947,57.11457541,228.6313457,120.1145754,19.40129306,2005
2_1_0000914ff30a7448a9f0,5108600,0,,,,-9.975819819,-51.36988178,7462.662941,42,58,0.489284516,45.04190808,228.1419081,97.04190808,0.489284516,2005
2_1_0000284fcb045e32cc09,5213103,15.47999763,23.44674062,205.4764293,93.93975423,-17.64520136,-52.80726034,8918.677057,52,69,276.0242039,39.21403988,224.2741725,109.7318906,291.5042016,2005
2_1_0000c8f885d15a62afca,5107198,0,,,,-16.50208036,-52.75106946,627.6958356,40,69,40.28771,45.66662465,238.4249272,118.1497294,40.28771,2005
2_1_0000d614b707521f8862,5108204,0,,,,-16.28199311,-52.89929148,2407.475885,42,69,23.37240295,51.03238503,237.6732979,120.032385,23.37240295,2005
2_1_0000a55469c19114aecb,5101803,0,,,,-15.35447899,-52.44789254,9112.684625,59,69,13.45170317,61.23340548,243.3660712,130.2334055,13.45170317,2005
2_1_0000345cf55fda086442,5106174,0.724235125,6.470874777,208.5290624,75.47087478,-14.2136398,-51.87521206,4051.919359,46,69,0.873911282,57.25330318,234.5533032,126.2533032,1.598146407,2005
2_1_00007f48dd4b4caa1456,5100201,5.034485045,25.07145327,207.9661134,94.07145327,-13.98230599,-52.48830834,7538.979584,46,68,16.25400991,48.8178779,228.7399403,116.8178779,21.28849495,2005
2_1_0000dcf1e0a383eb6653,5106257,1.441434453,61.09067339,229.0323768,130.0906734,-14.62010984,-52.47259172,5564.129906,58,69,15.83054974,69.65429035,237.3400671,138.6542904,17.27198419,2005
2_1_0000c2e06bcf0cbd8141,5102603,0,,,,-14.41125129,-53.14183661,5988.885858,30,68,1.924870078,61.88968939,222.30431,125.3896894,1.924870078,2005
2_1_00002b1c631d7df522ac,5106281,33.9201635,38.64102536,214.7310629,99.2217111,-15.08723379,-53.23842597,5052.617025,57,69,120.8909104,52.27766646,227.8447777,116.1375793,154.8110739,2005
2_1_00002a12eb64652d6054,5103908,22.27995094,33.8187935,220.3642992,102.8187935,-15.55884931,-53.44052788,3807.41337,57,69,137.1040744,48.79717175,226.7416867,117.7971718,159.3840253,2005
2_1_0000a018b45735917b0b,5108105,8.120830016,29.15866334,207.1782567,98.15866334,-15.90470069,-53.44726381,4202.709936,54,69,60.07640825,46.21969311,229.714455,115.2196931,68.19723827,2005
2_1_0000743392f358eccf24,5107008,42.94469124,26.26331984,209.0452418,95.26331984,-15.86201796,-54.18388234,6923.361049,54,69,42.59957737,40.70778939,223.2624033,109.7077894,85.5442686,2005
2_1_000098e15ac276eba6e3,5107040,201.2262471,26.67931883,207.7478548,95.22899832,-15.08947641,-54.2108318,5500.578559,69,68,374.2267749,49.24825073,223.7668516,117.206242,575.453022,2005
2_1_0000bdb8fec2bec935ec,5107792,60.92891523,44.39362586,216.235413,102.3936259,-14.83121393,-53.66735105,3613.549184,69,58,137.7167623,54.60882722,225.6789664,114.7044319,198.6456775,2005
2_1_0000d9cc9ac264951505,5106455,0,,,,-14.60214353,-54.69143048,2464.97329,66,57,0.962464625,71.75529906,241.0821793,128.7552991,0.962464625,2005
2_1_00000299a420bcda4d53,5106208,0,,,,-14.7997729,-55.02601849,3274.985713,53,69,3.011155707,57.12899637,228.5539703,126.1289964,3.011155707,2005
2_1_000048f95e9d96881972,5107701,3.369902672,20.25979421,207.5973962,81.07255483,-14.77059852,-55.99189482,7543.432493,50,68,7.885808556,25.35145014,204.7529996,90.75299961,11.25571123,2005
2_1_0000a943d8e067a6b312,5106224,685.1926182,18.7516553,202.7398993,86.7416291,-13.65216917,-56.0972939,9579.93819,30,68,361.4051171,34.22952206,219.1797819,103.2438666,1046.597735,2005
2_1_0000f9c4c9a4c7914235,5105903,6.533065933,21.31818433,202.6092968,89.31818433,-14.35510683,-55.80759064,3918.843258,53,68,24.04794347,51.56113821,227.7975512,119.5611382,30.58100941,2005
2_1_000003d8fa3e919cc214,5103007,0.479344422,23.07883927,203.2288393,92.07883927,-15.09836622,-55.5425929,6511.484888,32,69,28.38431725,47.58100105,224.3238336,116.5810011,28.86366167,2005
2_1_00009f0e64f54ee33690,5102678,89.88188817,24.28345137,205.1780671,93.29340733,-15.32528734,-54.98112326,4799.235579,50,69,323.1271494,45.56457889,222.7700269,114.575223,413.0090375,2005
