system:index,Muni_code,double_delay,double_harvest,double_plant,latitude,longitude,muni_area_km2,onset,single_delay,single_harvest,single_plant,year,.geo
1_0,NA,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,
2_0_00005aff5522742dc03f,5106265,31.39319164,194.3931916,80.39319164,-10.07912608,-55.82330773,5815.080394,45,13.05513357,176.8579124,62.05513357,2004,
2_0_0000f5028d3da3fc2087,5105606,21.55329339,184.5532934,70.55329339,-10.29023017,-55.01277594,5260.6138,49,70.66910968,225.1191097,119.6691097,2004,
2_0_0000dc2d69eb619ae00f,5105580,21.60903346,188.6090335,74.60903346,-11.24244437,-54.65998944,12330.14829,53,25.95865801,188.958658,74.95865801,2004,
2_0_00004234272352c5d97d,5107354,,,,-11.02235713,-53.0295472,7489.749363,49,65.12764478,222.6136242,117.1636242,2004,
2_0_0000137f8185e9645862,5107859,74.54930806,234.9993081,129.5493081,-11.87126507,-53.11716975,16781.53295,53,52.85841493,218.3084149,110.1670343,2004,
2_0_0000c9cd78e3dc7229b5,5106190,29.02717674,187.003318,78.02717674,-11.21998649,-55.18101231,2368.957071,49,42.28600934,208.2222664,91.28600934,2004,
2_0_0000e355c6d9aabfc531,5108055,23.28879503,186.288795,72.28879503,-10.69447205,-55.20796176,2573.023626,49,,,,2004,
2_0_0000c783ea68e049a389,5104559,12.98198281,187.4530943,57.98198281,-11.28736013,-56.12195833,4549.253985,37,23.02284863,194.0250517,68.02284863,2004,
2_0_00006a1dc3eec8d9b903,5103056,5.140755183,182.6325961,50.14075518,-11.67363571,-55.3921164,3866.018161,45,24.24381509,193.8063053,71.75851248,2004,
2_0_000091b0220c7f13a109,5107909,11.37329595,174.2318129,56.37329595,-12.08236916,-55.74245936,3957.450188,44,24.91969304,185.1986233,69.91969304,2004,
2_0_00001c54c272496761e1,5107248,18.81761812,179.8164422,63.81761812,-12.1138102,-55.29330172,3870.366973,45,25.84755338,187.6414331,70.84755338,2004,
2_0_0000212db09c736a9e89,5108303,41.34555834,200.3455583,86.34555834,-11.81736615,-54.65998944,4600.237578,45,71.48314264,221.9331426,116.4831426,2004,
2_0_0000ca93741c12e7e196,5103700,34.74143874,196.1914387,82.49224685,-12.56519429,-55.03956355,11507.3391,45,23.14100564,193.1410056,78.21975077,2004,
2_0_000019f0640d85df838c,5106240,8.10302582,182.1790292,63.76694485,-13.67462919,-55.26859013,12754.7676,45,24.4890723,195.3609925,79.52486193,2004,
2_0_00003435e1fc974d5667,5108501,13.24724312,178.7660966,61.98146348,-12.70669828,-55.54033842,2973.7934,45,22.69201367,185.0875994,67.79499003,2004,
2_0_0000c701db318caaec1e,5107925,7.520801711,177.7383246,60.76529928,-13.45005418,-55.98051291,9367.02827,44,12.52752503,182.5369339,65.5976839,2004,
2_0_0000ea6b0f20abd21433,5107768,10.21285846,181.7122245,66.20289775,-14.18442693,-55.59872891,4749.942567,55,20.11014308,193.9521654,75.70995839,2004,
2_0_00001e852d0dd44144a7,5106307,13.25618528,182.2561853,68.25618528,-14.50779855,-54.71614404,24256.23226,55,38.88288793,200.0577366,93.88288793,2004,
2_0_0000ef331a3022791b58,5103858,21.97591388,195.0662959,76.97591388,-13.65214574,-53.94133721,16994.20033,55,39.40754184,199.8575418,94.40754184,2004,
2_0_0000e0b247e362c9b125,5102702,22.97033643,195.7987574,83.97033643,-13.66102908,-52.93294029,10923.81367,60,36.34665881,209.2472103,98.34665881,2004,
2_0_0000cf70af7797718866,5107065,39.34867325,206.7986733,100.125364,-12.94473539,-53.40908353,17853.17773,53,40.74216705,211.7880197,100.3837077,2004,
2_0_000015e17b8b0f516065,5102694,,,,-11.45354846,-52.11775719,3466.503525,55,42.79682516,197.7191221,100.2263171,2004,
2_0_000019667622f6247e03,5106778,,,,-10.98193294,-52.15142821,3988.122068,56,23.42805663,193.4280566,79.42805663,2004,
2_0_000059bee336417acb78,5100359,,,,-11.93414714,-52.1716561,2249.210563,56,53.18763572,218.6376357,113.1876357,2004,
2_0_00000270ecad8c7396c6,5101852,,,,-12.46415316,-52.07507275,4290.761587,60,48.67233848,206.3943186,108.6723385,2004,
2_0_0000599325b905cc7a0c,5107180,,,,-13.33325403,-52.03465944,11398.41663,60,49.02509845,207.7377618,109.0250984,2004,
2_0_0000914ff30a7448a9f0,5108600,,,,-10.21836495,-52.12000448,7462.662941,26,71.8780772,233.3280772,127.8780772,2004,
2_0_0000284fcb045e32cc09,5213103,12.339496,188.2496032,71.40904035,-18.19091309,-53.09910405,8918.677057,55,18.76789549,195.8184435,80.09787111,2004,
2_0_0000c8f885d15a62afca,5107198,48.77822596,225.8241088,111.2982092,-16.59640346,-52.90378306,627.6958356,55,48.89365023,221.6631815,112.1136881,2004,
2_0_0000d614b707521f8862,5108204,,,,-16.51106351,-53.13734503,2407.475885,55,42.67235178,212.6919675,97.67235178,2004,
2_0_0000a55469c19114aecb,5101803,51.6201291,238.0701291,132.6201291,-15.81711749,-53.09917683,9112.684625,65,41.14613878,224.0516729,118.6016729,2004,
2_0_0000345cf55fda086442,5106174,57.45925527,227.9092553,122.4592553,-14.5728722,-52.18962241,4051.919359,61,63.50846409,233.9584641,128.5084641,2004,
2_0_00007f48dd4b4caa1456,5100201,19.9966958,195.6506432,84.9966958,-14.27425845,-52.98683761,7538.979584,62,21.69546166,203.8074015,86.69546166,2004,
2_0_0000dcf1e0a383eb6653,5106257,52.83717967,223.2871797,117.8371797,-14.92104546,-52.76229618,5564.129906,65,48.07160152,220.1922139,113.0716015,2004,
2_0_0000c2e06bcf0cbd8141,5102603,,,,-14.77731501,-53.37090701,5988.885858,55,53.87398263,213.8252302,115.8739826,2004,
2_0_00002b1c631d7df522ac,5106281,19.36075263,204.519343,87.65476809,-15.31181261,-53.76841287,5052.617025,55,32.46935184,206.5778418,97.72571396,2004,
2_0_00002a12eb64652d6054,5103908,31.84578718,200.7981195,86.84578718,-15.72503764,-53.85599726,3807.41337,55,42.10011944,211.4083773,97.10011944,2004,
2_0_0000a018b45735917b0b,5108105,20.19955095,189.1995509,75.19955095,-16.1697037,-53.77065731,4202.709936,55,24.5514178,196.3790178,79.5514178,2004,
2_0_0000743392f358eccf24,5107008,20.12166798,192.186827,75.12166798,-16.27073562,-54.5342253,6923.361049,55,46.41405125,207.176367,101.4140513,2004,
2_0_000098e15ac276eba6e3,5107040,17.31359396,187.1433271,72.31359396,-15.54312041,-54.49829269,5500.578559,55,33.80338671,203.1657455,88.80338671,2004,
2_0_0000bdb8fec2bec935ec,5107792,24.88761057,199.8218155,85.62389591,-15.08723379,-53.97277825,3613.549184,55,35.72315919,204.7238436,97.80216803,2004,
2_0_0000d9cc9ac264951505,5106455,,,,-14.76384028,-54.89355142,2464.97329,55,69.33670119,229.7867012,124.3367012,2004,
2_0_00000299a420bcda4d53,5106208,,,,-14.99291068,-55.48869283,3274.985713,55,71.99921525,232.4492152,126.9992152,2004,
2_0_000048f95e9d96881972,5107701,52.7093702,216.1593702,110.7093702,-15.38593467,-56.83589976,7543.432493,37,3.184307788,197.417719,82.18430779,2004,
2_0_0000a943d8e067a6b312,5106224,8.225606493,182.2221377,65.31312365,-14.09684862,-56.62950137,9579.93819,37,13.12960864,188.5913472,70.27990891,2004,
2_0_0000f9c4c9a4c7914235,5105903,19.09311135,191.0767145,77.09311135,-14.67850033,-56.32417271,3918.843258,37,36.03342724,202.0362815,94.03342724,2004,
2_0_000003d8fa3e919cc214,5103007,20.8980595,188.1264311,74.12643112,-15.47125924,-55.91075455,6511.484888,50,35.24053628,201.2810932,90.24053628,2004,
2_0_00009f0e64f54ee33690,5102678,22.31575579,188.2907833,76.31575579,-15.71605448,-55.35389078,4799.235579,54,29.50477951,197.5480707,84.23785546,2004,
2_0_000092dbc2173f3f1483,5107800,18.47390142,186.4739014,72.47390142,-17.20049612,-55.98724675,12183.40404,54,27.4830276,200.1182925,81.4830276,2004,
2_0_0000b869feffefcd5395,5103601,14.57024252,188.2152113,69.25030382,-15.89571754,-54.95194191,2211.036023,54,25.77929473,193.7792947,79.77929473,2004,
2_0_0000eba7d3dfdfd50375,5107602,7.605194595,179.189056,62.6051946,-16.95797537,-54.88905984,4172.692801,55,47.59137413,206.8351063,102.5913741,2004,
2_0_000008047e70a3f69008,5105200,33.67697626,204.2239638,87.67697626,-16.41674041,-55.19448704,2275.848781,54,35.59763544,201.9699847,89.59763544,2004,
2_0_0000816d7b8f4e1759dd,5104807,15.50198361,190.316994,69.50198361,-16.09783848,-55.26186068,1682.809519,54,36.12573734,203.899624,90.12573734,2004,
2_0_000048959ee3b55d9f95,5104609,31.75670682,201.2640837,86.75670682,-17.5800587,-55.33148012,8750.970009,55,45.70426732,211.1995274,100.7042673,2004,
2_0_00004813377b4c00da4d,5106372,36.45016287,202.6902376,91.45016287,-17.04556111,-54.57464949,4122.319679,55,50.81463404,211.9290496,105.814634,2004,
2_0_000013b83de316c86a40,5104203,33.45047616,199.6668884,88.45047616,-16.67276026,-54.09626689,5080.158715,55,41.30110406,209.7631756,99.27153669,2004,
2_0_0000282e266c3d805111,5100409,23.24572624,192.2457262,78.24572624,-17.14437579,-53.92337091,3760.25818,55,33.51202693,202.6935075,88.51202693,2004,
2_0_00006363eaf98e56d147,5100300,31.35295044,200.3529504,86.35295044,-17.94162061,-53.81557307,5531.80258,55,37.47165616,209.9366051,92.47165616,2004,
