system:index,Muni_code_median,Muni_code_sum,count,double_area_km2_median,double_area_km2_sum,double_delay_median,double_delay_sum,double_harvest_median,double_harvest_sum,double_plant_median,double_plant_sum,label,latitude_median,latitude_sum,longitude_median,longitude_sum,onset_historicalRange_median,onset_historicalRange_sum,onset_median,onset_sum,single_area_km2_median,single_area_km2_sum,single_delay_median,single_delay_sum,single_harvest_median,single_harvest_sum,single_plant_median,single_plant_sum,total_planted_area_km2_median,total_planted_area_km2_sum,year_median,year_sum
0_+3394+3840,5105150,1.57E+10,3080,,0,,0,,0,,0,6771600,-10.87638089,-33499.25315,-59.1246164,-182103.8185,33,101640,38,117040,,0,,0,,0,,0,,0,2004,6172320
0_+3394+3895,5105150,1.54E+10,3025,,0,,0,,0,,0,7788870,-11.12566338,-33655.13173,-59.1246164,-178851.9646,32,96800,38,114950,,0,,0,,0,,0,,0,2004,6062100
0_+3394+3951,5105150,1.57E+10,3080,,0,,0,,0,,0,13459527,-11.37494587,-35034.83329,-59.1246164,-182103.8185,47,144760,38,117040,,0,,0,,0,,0,,0,2004,6172320
0_+3394+4007,5105150,1.57E+10,3080,,0,,0,,0,,0,14757228,-11.62647415,-35809.54039,-59.1246164,-182103.8185,40,123200,58,178640,,0,,0,,0,,0,,0,2004,6172320
0_+3394+4062,5105150,1.54E+10,3025,,0,,0,,0,,0,14229756,-11.87575665,-35924.16385,-59.1246164,-178851.9646,40,121000,38,114950,,0,,0,,0,,0,,0,2004,6062100
0_+3394+4118,5105150,1.57E+10,3080,,0,,0,,0,,0,22526712,-12.12503914,-37345.12054,-59.1246164,-182103.8185,26,80080,58,178640,,0,,0,,0,,0,,0,2004,6172320
0_+3394+4173,5103304,1.54E+10,3025,,0,,0,,0,,0,22262344,-12.37432163,-37432.32292,-59.1246164,-178851.9646,21,63525,58,175450,,0,,0,,0,,0,,0,2004,6062100
0_+3394+4229,5103304,1.57E+10,3080,,0,,0,,0,,0,21308196,-12.62360412,-38880.70069,-59.1246164,-182103.8185,20,61600,58,178640,,0,,0,,0,,0,,0,2004,6172320
0_+3394+4285,5102686,1.57E+10,3080,,0,,0,,0,,0,21361656,-12.8751324,-39655.40779,-59.1246164,-182103.8185,34,104720,58,178640,,0,,0,,0,,0,,0,2004,6172320
0_+3394+4340,5102686,1.54E+10,3025,0.241933477,0.483866953,50.8225257,101.6450514,214.2725257,428.5450514,108.8225257,217.6450514,17472000,-13.12441489,-39701.35504,-59.1246164,-178851.9646,48,145200,58,175450,0.241929141,5.080951203,67.61962768,1359.028668,230.9531187,4794.328668,125.6196277,2577.028668,0.241929141,5.564818156,2004,6062100
0_+3394+4396,5102686,1.57E+10,3080,0.24167293,3.866748984,41.77085377,699.4605976,201.6238088,3292.110598,91.77085377,1499.460598,10686780,-13.37369738,-41190.98794,-59.1246164,-182103.8185,38,117040,50,154000,0.241723688,24.4164385,69.13850287,6927.537968,222.6848335,22462.68797,119.1385029,11977.53797,0.241710469,28.28318748,2004,6172320
0_+3394+4452,5102686,1.57E+10,3080,0.241555234,69.56615075,30.21704043,9952.763127,199.2204722,57729.11313,80.21704043,24352.76313,14389440,-13.62522566,-41965.69504,-59.1246164,-182103.8185,38,117040,50,154000,0.241523969,39.12687853,68.22532651,10979.72512,223.1294065,36256.67512,118.2253265,19079.72512,0.241541844,108.6930293,2004,6172320
0_+3394+4507,5102686,1.54E+10,3025,0.241280422,42.70453817,42.45040308,7848.705717,203.3672851,36506.20572,92.45040308,16698.70572,16357692,-13.87450815,-41970.38716,-59.1246164,-178851.9646,52,157300,50,151250,0.241294063,44.15523058,65.6223419,11840.76236,224.6638975,41145.96236,115.6223419,20990.76236,0.241289516,86.85976875,2004,6062100
0_+3394+4563,5102686,1.57E+10,3080,0.241083453,7.714212094,50.65337381,1607.193296,209.4450547,6701.293296,100.6533738,3207.193296,16478000,-14.12379064,-43501.27518,-59.1246164,-182103.8185,76,234080,50,154000,0.240995563,59.28821884,58.32660505,13838.72472,216.1812581,53208.02472,108.326605,26138.72472,0.241004844,67.00243094,2004,6172320
0_+3394+4619,5103361,1.57E+10,3080,0.240836984,0.722520328,41.91290627,150.3929618,220.1629063,648.0929618,91.91290627,300.3929618,16448600,-14.37531892,-44275.98228,-59.1246164,-182103.8185,43,132440,50,154000,0.24086275,2.890235781,60.03781845,728.0701834,218.494489,2624.820183,110.0378185,1328.070183,0.240855734,3.612756109,2004,6172320
0_+3394+4674,5103361,1.54E+10,3025,,0,,0,,0,,0,13920900,-14.62460141,-44239.41928,-59.1246164,-178851.9646,43,130075,50,151250,,0,,0,,0,,0,,0,2004,6062100
0_+3394+4730,5106752,1.57E+10,3080,,0,,0,,0,,0,13825350,-14.87388391,-45811.56243,-59.1246164,-182103.8185,56,172480,37,113960,,0,,0,,0,,0,,0,2004,6172320
0_+3394+4786,5106752,1.57E+10,3080,,0,,0,,0,,0,8951250,-15.12541219,-46586.26953,-59.1246164,-182103.8185,54,166320,36,110880,,0,,0,,0,,0,,0,2004,6172320
0_+3394+4841,5108352,1.55E+10,3025,,0,,0,,0,,0,9510600,-15.37469468,-46508.4514,-59.1246164,-178851.9646,60,181500,36,108900,,0,,0,,0,,0,,0,2004,6062100
0_+3394+4897,5106790,1.57E+10,3080,,0,,0,,0,,0,21742500,-15.62397717,-48121.84968,-59.1246164,-182103.8185,57,175560,37,113960,,0,,0,,0,,0,,0,2004,6172320
0_+3394+4953,5106828,1.57E+10,3080,,0,,0,,0,,0,21738750,-15.87550545,-48896.55678,-59.1246164,-182103.8185,57,175560,37,113960,,0,,0,,0,,0,,0,2004,6172320
0_+3450+3394,5103379,1.26E+10,2464,,0,,0,,0,,0,7185696,-8.900087267,-21929.81503,-58.87533391,-145068.8228,34,83776,39,96096,,0,,0,,0,,0,,0,2004,4937856
0_+3450+3450,5103379,1.60E+10,3136,,0,,0,,0,,0,8344320,-9.124666088,-28614.95285,-58.87533391,-184633.0471,32,100352,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3450+3506,5103379,1.60E+10,3136,,0,,0,,0,,0,6041280,-9.376194367,-29403.74554,-58.87533391,-184633.0471,32,100352,38,119168,,0,,0,,0,,0,,0,2004,6284544
0_+3450+3561,5103379,1.57E+10,3080,,0,,0,,0,,0,8756000,-9.625476859,-29646.46872,-58.87533391,-181336.0284,32,98560,38,117040,,0,,0,,0,,0,,0,2004,6172320
