h1_lowerBoundError,h1_upperBoundError,label
14.30956609,-27.69043391,-84124980
22.36654131,-13.63345869,-84133963
12.20878743,-29.79121257,-84111506
13.03764047,-28.96235953,-84120489
24.81235255,-11.18764745,-84129472
26.18058248,-9.819417517,-84138455
22.14558302,-3.854416976,-84147439
20.70930294,-15.29069706,-84124980
28.06505987,-7.934940128,-84133963
24.02115713,-11.97884287,-84142946
26.55732449,0.557324494,-84151930
15.15202337,1.152023368,-84160913
12.54902865,-1.450971351,-84169896
21.18498024,-14.81501976,-84129472
8.565008784,-27.43499122,-84138455
25.85707754,-10.14292246,-84147438
26.36744906,0.367449063,-84156422
17.02925909,3.029259094,-84165405
10.06808275,-3.931917252,-84174388
10.37589708,-3.624102922,-84183371
6.307029783,-21.69297022,-84133964
12.14137783,-15.85862217,-84142947
19.4791989,-16.5208011,-84151930
20.51537049,-5.484629509,-84160914
14.14009278,0.140092782,-84169897
7.591282455,-6.408717545,-84178880
10.58753681,-26.41246319,-84187863
18.63793459,-12.36206541,-84138455
3.258419068,-24.74158093,-84147438
14.52503626,-13.47496374,-84156421
9.391580884,-18.60841912,-84165405
7.541866307,-6.458133693,-84174388
22.26671869,-8.733281306,-84192354
13.86814235,-17.13185765,-84142947
3.26817263,-27.73182737,-84151930
24.38536633,3.385366331,-84160913
9.381329594,-18.61867041,-84169897
7.448227219,-20.55177278,-84178880
8.761016595,-19.2389834,-84187863
23.72470616,-7.275293841,-84196846
1.985626784,-19.01437322,-84156421
2.106460175,-18.89353983,-84165404
17.13719487,-3.862805131,-84183371
8.309605577,-19.69039442,-84192354
20.5874688,-10.4125312,-84201337
5.384121128,-25.61587887,-84210320
14.83366255,-11.16633745,-84160913
16.57830827,-9.421691728,-84169896
11.48379604,-9.516203964,-84178880
16.63226717,-4.36773283,-84187863
22.88421224,1.884212242,-84196846
10.06014348,-17.93985652,-84205829
9.945402439,-11.05459756,-84223795
12.99185417,-13.00814583,-84165404
14.88836868,-11.11163132,-84174387
17.95095277,-8.049047231,-84183371
18.76610325,-2.233896752,-84192354
22.56865026,1.568650261,-84201337
0.727404208,-22.27259579,-84219303
1.615796874,-21.38420313,-84228286
7.789160603,-20.2108394,-84273202
13.78789409,-1.212105914,-84291168
15.81364824,-12.18635176,-84309135
14.7086334,-11.2913666,-84169896
13.40183845,-12.59816155,-84178879
17.69727189,-8.302728114,-84187863
0.462578296,-22.5374217,-84232778
5.227473192,-22.77252681,-84277694
2.526732007,-16.47326799,-84286677
3.44719857,-11.55280143,-84295660
16.46230314,-9.537696858,-84174388
2.365062635,-20.63493737,-84237270
12.55071632,-15.44928368,-84282186
35.82326007,7.823260066,-84309136
1.130868052,-17.86913195,-84178879
0.035762206,-27.96423779,-84241761
0.187894592,-27.81210541,-84250745
21.81255382,-12.18744618,-84277694
15.70440091,-12.29559909,-84286677
8.257316532,-10.74268347,-84295660
25.93201343,-2.067986572,-84313627
9.887125161,-18.11287484,-84331593
9.665331354,-18.33466865,-84340576
16.23416614,-28.76583386,-84192354
19.61926048,-14.38073952,-84273203
20.63192539,-5.368074607,-84282186
29.72454643,3.724546433,-84291169
41.52205802,15.52205802,-84300152
6.861920319,-21.13807968,-84318119
13.61374574,-14.38625426,-84327102
2.064268709,-25.93573129,-84336085
1.865783316,-26.13421668,-84345068
25.66578227,-5.33421773,-84268711
12.58148559,-18.41851441,-84277694
19.42350537,-6.576494634,-84286677
12.33820335,-13.66179665,-84295660
5.664111189,-31.33588881,-84313626
9.19806657,-22.80193343,-84322610
8.560476371,-28.43952363,-84331593
5.184898238,-27.81510176,-84349559
5.781501778,-27.21849822,-84358542
15.35711738,-38.64288262,-84210321
13.43822121,-17.56177879,-84273203
18.3028288,-12.6971712,-84282186
17.71044038,-13.28955962,-84291169
16.96327941,-9.036720595,-84300152
18.13008684,-7.869913157,-84309135
11.39523366,-25.60476634,-84318118
8.132127454,-28.86787255,-84327102
7.042397805,-29.9576022,-84336085
7.082815637,-25.91718436,-84354051
4.378296728,-28.62170327,-84363034
8.522852553,-24.47714745,-84372017
6.626676199,-26.3733238,-84381001
9.392377106,-23.60762289,-84389984
16.17078958,-37.82921042,-84223795
14.74168922,-30.25831078,-84259727
11.63994403,-19.36005597,-84286677
0.466453307,-27.53354669,-84295660
8.401959646,-19.59804035,-84304643
8.279075683,-19.72092432,-84313626
9.769322777,-27.23067722,-84322609
12.66776795,-24.33223205,-84331593
14.45437239,-18.54562761,-84367525
5.800129029,-27.19987097,-84385492
29.20880177,-15.79119823,-84228287
15.40323116,-25.59676884,-84237270
15.67522248,-25.32477752,-84246253
15.32030715,-25.67969285,-84255236
16.8064803,-28.1935197,-84264219
21.65817536,-14.34182464,-84282186
20.6036221,-24.3963779,-84232779
14.01337318,-30.98662682,-84241762
3.556935619,-37.44306438,-84250745
3.471595563,-37.52840444,-84259728
4.696958373,-36.30304163,-84268711
18.38512651,-17.61487349,-84286678
12.26447831,-28.73552169,-84255236
11.61183369,-24.38816631,-84273202
9.184685612,-42.81531439,-84291169
5.941463037,-19.05853696,-79080940
3.048579835,-21.95142016,-79098907
7.863186043,-17.13681396,-79085431
3.725749996,-21.27425,-79094415
5.72877733,-22.27122267,-79103398
10.61116325,-17.38883675,-79112381
12.13983606,-15.86016394,-79121364
1.238635119,-19.76136488,-79089923
4.634204077,-23.36579592,-79116873
4.660168086,-23.33983191,-79125856
0.682416357,-27.31758364,-79134839
30.6493959,-13.3506041,-79085432
14.95667575,-13.04332425,-79053991
23.64442145,-20.35557855,-79089923
8.22165895,-12.77834105,-79116873
32.45518008,4.455180078,-79058483
18.24487722,-9.755122784,-79067466
34.53232455,-9.467675449,-79085432
30.23837426,-13.76162574,-79094415
9.258156962,-3.741843038,-79112382
34.38610532,-9.613894678,-79089923
32.6624865,-11.3375135,-79098906
17.07155096,-3.928449041,-79107889
10.29668053,-5.703319471,-79116873
10.25824939,-36.74175061,-79058482
12.24237347,-3.757626532,-79103398
9.338192681,-6.661807319,-79112381
20.68493413,4.68493413,-79121365
20.38823291,-26.61176709,-79071957
36.11097917,-10.88902083,-79080940
11.34545428,-35.65454572,-79089923
14.92575587,-11.07424413,-79107889
23.68043369,-2.31956631,-79116872
28.80589714,2.80589714,-79125856
24.72159062,-22.27840938,-79067465
23.43192931,-23.56807069,-79076449
27.14690028,-19.85309972,-79085432
18.82913232,-28.17086768,-79094415
33.5914956,-13.4085044,-79103398
21.34572362,-25.65427638,-79089924
23.45136323,-16.54863677,-79098907
23.24017242,-16.75982758,-79107890
24.30841599,-10.69158401,-79125856
10.20476735,-24.79523265,-79134840
1.75316333,-26.24683667,-79103398
9.45610043,-18.54389957,-79112381
6.137987797,-21.8620122,-79121364
8.972072259,-26.02792774,-79130347
72.90421476,32.90421476,-79139331
54.60673123,14.60673123,-79157297
14.45439629,-13.54560371,-79107890
9.525136919,-18.47486308,-79116873
53.89265001,13.89265001,-79161789
14.62210426,-13.37789574,-79112381
19.57600632,-11.42399368,-79116873
21.84422222,-12.15577778,-79125856
22.74986727,-7.250132733,-79202213
22.93456235,-7.065437647,-79206704
8.812017335,-21.18798266,-79220179
13.49397139,-25.50602861,-79179755
5.025504582,-24.97449542,-79224670
0.746573957,-12.25342604,-79143822
17.72892834,-19.27107166,-84214812
30.62397169,-12.37602831,-84156422
39.67020436,-3.329795639,-84174388
12.60304147,-27.39695853,-84183371
18.8712157,-21.1287843,-84192355
26.04217683,-13.95782317,-84210321
18.15168392,-21.84831608,-84219304
34.49337428,12.49337428,-84264220
19.24041534,-23.75958466,-84160913
21.87049188,-21.12950812,-84178879
