system:index,bucketMean,count,year,.geo
1_48,60.76658013,6,2004,
1_49,61.29311455,3,2004,
1_50,62.3499367,4,2004,
1_51,63.62776852,7,2004,
1_52,64.60763854,9,2004,
1_53,65.14744722,5,2004,
1_54,66.59781809,2,2004,
1_55,67.24410278,6,2004,
1_56,68.20175163,5,2004,
1_57,69.5261848,9,2004,
1_58,70.54777232,11,2004,
1_59,71.55211193,5,2004,
1_60,72.49860487,20,2004,
1_61,73.4598188,19,2004,
1_62,74.55016362,17,2004,
1_63,75.42665941,15,2004,
1_64,76.3917242,25,2004,
1_65,77.4291827,24,2004,
1_66,78.40325218,23,2004,
1_67,79.55099003,23,2004,
1_68,80.56565273,21,2004,
1_69,81.43061319,22,2004,
1_70,82.45550998,25,2004,
1_71,83.51874392,20,2004,
1_72,84.59221678,31,2004,
1_73,85.59438511,20,2004,
1_74,86.27376446,16,2004,
1_75,87.37362704,20,2004,
1_76,88.53824782,20,2004,
1_77,89.65996496,12,2004,
1_78,90.38582634,12,2004,
1_79,91.42939519,9,2004,
1_80,92.44348871,16,2004,
1_81,93.50767271,11,2004,
1_82,94.47443257,19,2004,
1_83,95.60218143,3,2004,
1_84,96.61597356,15,2004,
1_85,97.72816662,7,2004,
1_86,98.49538285,10,2004,
1_87,99.50354681,5,2004,
1_88,100.443191,9,2004,
1_89,101.5789408,5,2004,
1_90,102.7489785,8,2004,
1_91,103.5561207,8,2004,
1_92,104.5050561,9,2004,
1_93,105.6113308,8,2004,
1_94,106.5454984,5,2004,
1_95,107.530473,9,2004,
1_96,108.0205625,1,2004,
1_97,109.4021182,7,2004,
1_98,110.3553048,6,2004,
1_99,111.5238004,6,2004,
1_100,112.5146402,5,2004,
1_101,113.7445277,3,2004,
1_102,114.6019052,13,2004,
1_103,115.598786,3,2004,
1_104,116.6675823,7,2004,
1_105,117.4270737,4,2004,
1_106,118.4249839,7,2004,
1_107,119.4983903,3,2004,
1_108,120.471363,7,2004,
1_109,121.5005982,5,2004,
1_110,122.3635166,2,2004,
1_111,123.6939531,3,2004,
1_112,124.4439,5,2004,
1_113,125.8938764,2,2004,
1_114,126.2871152,1,2004,
1_115,127.1778333,2,2004,
1_116,128.3533482,1,2004,
1_117,129.0613032,1,2004,
1_118,130.1919754,1,2004,
1_119,131.1860783,2,2004,
1_120,132.1375671,1,2004,
1_121,133.5166567,5,2004,
1_122,134.5,0,2004,
1_123,135.5,0,2004,
1_124,136.5,0,2004,
1_125,137.334818,1,2004,
1_126,138.5,0,2004,
1_127,139.5,0,2004,
1_128,140.5,0,2004,
1_129,141.6683963,1,2004,
1_130,142.5,0,2004,
1_131,143.5,0,2004,
1_132,144.4844151,2,2004,
1_133,145.5493858,1,2004,
1_134,146.5,0,2004,
1_135,147.3715007,1,2004,
1_136,148.5,0,2004,
1_137,149.5,0,2004,
1_138,150.5,0,2004,
1_139,151.5,0,2004,
1_140,152.3060322,1,2004,
1_141,153.5,0,2004,
1_142,154.5,0,2004,
1_143,155.5,0,2004,
1_144,156.5,0,2004,
1_145,157.600671,1,2004,
1_146,158.5,0,2004,
1_147,159.5,0,2004,
1_148,160.5,0,2004,
1_149,161.5,0,2004,
1_150,162.5,0,2004,
1_151,163.5,0,2004,
1_152,164.5,0,2004,
1_153,165.5,0,2004,
1_154,166.5,0,2004,
1_155,167.5,0,2004,
1_156,168.5,0,2004,
1_157,169.5,0,2004,
1_158,170.5,0,2004,
1_159,171.5,0,2004,
1_160,172.5,0,2004,
1_161,173.5,0,2004,
1_162,174.5,0,2004,
1_163,175.5,0,2004,
1_164,176.5,0,2004,
1_165,177.5,0,2004,
1_166,178.5,0,2004,
1_167,179.5,0,2004,
1_168,180.5,0,2004,
1_169,181.5,0,2004,
1_170,182.5,0,2004,
1_171,183.5,0,2004,
1_172,184.2770863,1,2004,
2_0,0.710071499,2,2005,
2_1,1.66039738,1,2005,
2_2,2.5,0,2005,
2_3,3.5,0,2005,
2_4,4.5,0,2005,
2_5,5.5,0,2005,
2_6,6.5,0,2005,
2_7,7.5,0,2005,
2_8,8.5,0,2005,
2_9,9.5,0,2005,
2_10,10.5,0,2005,
2_11,11.5,0,2005,
2_12,12.5,0,2005,
2_13,13.5,0,2005,
2_14,14.5,0,2005,
2_15,15.40286301,1,2005,
2_16,16.5,0,2005,
2_17,17.5,0,2005,
2_18,18.21542022,1,2005,
2_19,19.5,0,2005,
2_20,20.5,0,2005,
2_21,21.36077888,1,2005,
2_22,22.5,0,2005,
2_23,23.5,0,2005,
2_24,24.97030756,1,2005,
2_25,25.5,0,2005,
2_26,26.5,0,2005,
2_27,27.5,0,2005,
2_28,28.5,0,2005,
2_29,29.55473428,1,2005,
2_30,30.5,0,2005,
2_31,31.5,0,2005,
2_32,32.5,0,2005,
2_33,33.06881882,1,2005,
2_34,34.5,0,2005,
2_35,35.5,0,2005,
2_36,36.5,0,2005,
2_37,37.5,0,2005,
2_38,38.5,0,2005,
2_39,39.47993431,3,2005,
2_40,40.5,0,2005,
2_41,41.81730054,1,2005,
2_42,42.5,0,2005,
2_43,43.5,0,2005,
2_44,44.5,0,2005,
2_45,45.06278702,1,2005,
2_46,46.13970959,1,2005,
2_47,47.29503003,1,2005,
2_48,48.0891106,2,2005,
2_49,49.85334187,1,2005,
2_50,50.63638374,1,2005,
2_51,51.5,0,2005,
2_52,52.5,0,2005,
2_53,53.53159022,2,2005,
2_54,54.1045144,1,2005,
2_55,55.5,0,2005,
2_56,56.73010096,2,2005,
2_57,57.88808549,1,2005,
2_58,58.74442015,7,2005,
2_59,59.63940428,2,2005,
2_60,60.5,0,2005,
2_61,61.78393153,2,2005,
2_62,62.5,0,2005,
2_63,63.42521049,2,2005,
2_64,64.72799444,1,2005,
2_65,65.9851191,1,2005,
2_66,66.97550003,1,2005,
2_67,67.37695291,5,2005,
2_68,68.28484122,3,2005,
2_69,69.7559103,2,2005,
2_70,70.37818706,3,2005,
2_71,71.54910103,12,2005,
2_72,72.38180557,2,2005,
2_73,73.29747487,3,2005,
2_74,74.46564553,4,2005,
2_75,75.52368052,5,2005,
2_76,76.43665506,8,2005,
2_77,77.50904826,8,2005,
2_78,78.40199432,3,2005,
2_79,79.66022184,6,2005,
2_80,80.52365711,10,2005,
2_81,81.57083162,8,2005,
2_82,82.59775447,8,2005,
2_83,83.40265287,11,2005,
