system:index,median_delay,year,.geo
0,34.16692512,2004,
1,28.75662612,2005,
2,28.72369342,2006,
3,35.25884922,2007,
4,27.72642061,2008,
5,30.75903042,2009,
6,44.47376748,2010,
7,24.19077689,2011,
8,23.79345716,2012,
9,20.75537499,2013,
10,18.7592068,2014,
