bucketMean,count,year
7.5,0,2005
8.5,0,2005
9.5,0,2005
10.5,0,2005
11.5,0,2005
12.5,0,2005
13.5,0,2005
14.5,0,2005
15.40286301,1,2005
16.5,0,2005
17.5,0,2005
18.21542022,1,2005
19.5,0,2005
20.5,0,2005
21.36077888,1,2005
22.5,0,2005
23.5,0,2005
24.97030756,1,2005
25.5,0,2005
26.5,0,2005
27.5,0,2005
28.5,0,2005
29.55473428,1,2005
30.5,0,2005
31.5,0,2005
32.5,0,2005
33.06881882,1,2005
34.5,0,2005
35.5,0,2005
36.5,0,2005
37.5,0,2005
38.5,0,2005
39.47993431,3,2005
40.5,0,2005
41.81730054,1,2005
42.5,0,2005
43.5,0,2005
44.5,0,2005
45.06278702,1,2005
46.13970959,1,2005
47.29503003,1,2005
48.0891106,2,2005
49.85334187,1,2005
50.63638374,1,2005
51.5,0,2005
52.5,0,2005
53.53159022,2,2005
54.1045144,1,2005
55.5,0,2005
56.73010096,2,2005
57.88808549,1,2005
58.74442015,7,2005
59.63940428,2,2005
60.5,0,2005
61.78393153,2,2005
62.5,0,2005
63.42521049,2,2005
64.72799444,1,2005
65.9851191,1,2005
66.97550003,1,2005
67.37695291,5,2005
68.28484122,3,2005
69.7559103,2,2005
70.37818706,3,2005
71.54910103,12,2005
72.38180557,2,2005
73.29747487,3,2005
74.46564553,4,2005
75.52368052,5,2005
76.43665506,8,2005
77.50904826,8,2005
78.40199432,3,2005
79.66022184,6,2005
80.52365711,10,2005
81.57083162,8,2005
82.59775447,8,2005
83.40265287,11,2005
84.46320546,28,2005
85.43470431,17,2005
86.49249363,18,2005
87.534892,20,2005
88.51349005,25,2005
89.47459624,22,2005
90.38709771,17,2005
91.4349212,26,2005
92.5541616,19,2005
93.4130341,24,2005
94.42353114,29,2005
95.5155145,27,2005
96.49283945,21,2005
97.40720862,11,2005
98.49175504,22,2005
99.56485285,17,2005
100.4605589,27,2005
101.5635439,32,2005
102.4294473,27,2005
103.4646935,20,2005
104.5268521,15,2005
105.463109,12,2005
106.5547468,13,2005
107.5580664,9,2005
108.5596542,14,2005
109.5874282,15,2005
110.4027633,10,2005
111.4937394,11,2005
112.2370346,12,2005
113.4096211,12,2005
114.4957626,14,2005
115.4939739,13,2005
116.4558016,13,2005
117.4868859,15,2005
118.4362374,12,2005
119.3090066,6,2005
120.6741417,8,2005
121.7191121,5,2005
122.3961207,4,2005
123.5310876,5,2005
124.4740467,6,2005
125.7325177,5,2005
126.4461049,6,2005
127.395348,4,2005
128.0516645,1,2005
129.5,0,2005
130.4491768,5,2005
131.5,0,2005
132.651966,3,2005
133.5,0,2005
134.2588566,1,2005
135.6335229,2,2005
136.5,0,2005
137.9779871,1,2005
138.5,0,2005
139.5,0,2005
140.5,0,2005
141.5,0,2005
142.5,0,2005
143.4356083,1,2005
144.4488869,1,2005
145.5,0,2005
146.5,0,2005
147.5,0,2005
148.5,0,2005
149.5,0,2005
150.5,0,2005
151.5,0,2005
152.5,0,2005
153.5,0,2005
154.5,0,2005
155.5,0,2005
156.5,0,2005
157.5,0,2005
158.5,0,2005
159.5,0,2005
160.5,0,2005
161.5,0,2005
162.3238713,1,2005
163.97384,1,2005
-78.90788667,1,2006
-77.5,0,2006
-76.5,0,2006
-75.5,0,2006
-74.5,0,2006
-73.5,0,2006
-72.5,0,2006
-71.5,0,2006
-70.5,0,2006
-69.5,0,2006
-68.5,0,2006
-67.5,0,2006
-66.5,0,2006
-65.5,0,2006
-64.5,0,2006
-63.5,0,2006
-62.5,0,2006
-61.5,0,2006
-60.5,0,2006
-59.5,0,2006
-58.5,0,2006
-57.5,0,2006
-56.5,0,2006
-55.5,0,2006
-54.5,0,2006
-53.5,0,2006
-52.5,0,2006
-51.5,0,2006
-50.5,0,2006
-49.5,0,2006
-48.5,0,2006
-47.5,0,2006
-46.5,0,2006
-45.5,0,2006
-44.5,0,2006
-43.5,0,2006
-42.5,0,2006
-41.5,0,2006
-40.5,0,2006
-39.5,0,2006
-38.5,0,2006
-37.5,0,2006
-36.5,0,2006
-35.5,0,2006
-34.79471991,1,2006
-33.5,0,2006
-32.5,0,2006
-31.5,0,2006
-30.5,0,2006
-29.5,0,2006
-28.5,0,2006
-27.5,0,2006
-26.5,0,2006
-25.5,0,2006
-24.5,0,2006
-23.5,0,2006
-22.5,0,2006
-21.5,0,2006
-20.69709228,1,2006
-19.5,0,2006
-18.5,0,2006
-17.11860401,1,2006
-16.5,0,2006
-15.5,0,2006
-14.5,0,2006
-13.5,0,2006
-12.5,0,2006
-11.5,0,2006
-10.5,0,2006
-9.5,0,2006
-8.5,0,2006
-7.5,0,2006
-6.5,0,2006
-5.5,0,2006
-4.5,0,2006
-3.5,0,2006
-2.856668952,1,2006
-1.5,0,2006
-0.5,0,2006
0.5,0,2006
1.5,0,2006
2.5,0,2006
3.29186338,1,2006
4.5,0,2006
5.5,0,2006
6.5,0,2006
7.5,0,2006
8.474685382,1,2006
9.5,0,2006
10.08459175,1,2006
11.59566014,1,2006
12.5,0,2006
13.5,0,2006
14.5,0,2006
15.5,0,2006
16.20823857,1,2006
17.5,0,2006
18.5,0,2006
19.5,0,2006
20.5,0,2006
21.5,0,2006
22.5,0,2006
23.5,0,2006
24.5,0,2006
25.5,0,2006
26.5,0,2006
27.5,0,2006
28.5,0,2006
29.5,0,2006
30.5,0,2006
31.5,0,2006
32.31281158,1,2006
33.20358129,1,2006
34.5,0,2006
35.98638672,1,2006
36.41897471,2,2006
37.5,0,2006
38.5,0,2006
39.55985143,2,2006
40.5,0,2006
41.59625821,4,2006
42.91555845,1,2006
43.27923327,3,2006
44.22932632,3,2006
45.63577791,7,2006
46.5,0,2006
47.8733006,1,2006
48.45848027,8,2006
49.66804867,3,2006
50.54601075,4,2006
51.25001151,3,2006
52.45021982,6,2006
53.46849333,7,2006
54.46623745,4,2006
55.78014644,3,2006
56.52033789,8,2006
57.4824983,4,2006
58.6345581,7,2006
59.81856456,8,2006
60.40695574,6,2006
61.52119543,5,2006
62.51131393,8,2006
63.49395644,2,2006
64.41585918,3,2006
65.722227,6,2006
66.30918699,8,2006
67.47039609,10,2006
68.35084626,5,2006
69.54920551,5,2006
70.53107437,9,2006
71.35122705,8,2006
72.53605333,5,2006
73.44353403,14,2006
74.53707926,7,2006
75.4332646,9,2006
76.47717186,14,2006
77.48759019,13,2006
78.55265942,19,2006
79.53386557,20,2006
80.5049829,22,2006
81.51025514,27,2006
82.5671217,28,2006
83.51364392,41,2006
84.52319396,32,2006
85.5552768,38,2006
86.43355971,38,2006
87.35708625,43,2006
88.50803389,31,2006
89.45201811,32,2006
90.43260842,32,2006
91.48155938,29,2006
92.39824351,27,2006
93.42078338,25,2006
94.51532984,13,2006
95.65221636,11,2006
96.46785612,12,2006
97.42642613,12,2006
98.58335352,13,2006
99.30597914,6,2006
100.7269916,4,2006
101.6874756,10,2006
102.5368613,3,2006
103.5170182,5,2006
104.4622924,6,2006
105.6904259,7,2006
106.598716,4,2006
107.5958108,10,2006
108.3650555,6,2006
109.4829799,3,2006
110.5,0,2006
111.7973569,2,2006
112.258622,1,2006
113.1263299,2,2006
114.2143208,2,2006
115.334564,1,2006
116.4666281,3,2006
117.4230277,3,2006
118.5,0,2006
119.5,0,2006
120.9345091,1,2006
121.5,0,2006
122.8834453,1,2006
123.5164209,3,2006
124.2432256,1,2006
125.844544,1,2006
126.6483547,3,2006
127.1138873,2,2006
128.8717023,2,2006
129.5,0,2006
130.5,0,2006
131.5,0,2006
132.5185979,3,2006
133.6472187,1,2006
134.5,0,2006
135.5,0,2006
136.7343224,1,2006
137.5,0,2006
138.5,0,2006
139.5,0,2006
140.5,0,2006
141.5,0,2006
142.5,0,2006
143.5499581,1,2006
144.5,0,2006
145.5,0,2006
146.5,0,2006
147.5,0,2006
148.5,0,2006
149.5829596,1,2006
150.557619,1,2006
-65.76663651,2,2007
-64.5,0,2007
-63.5,0,2007
-62.5,0,2007
-61.5,0,2007
-60.5,0,2007
-59.5,0,2007
-58.38279413,1,2007
-57.5,0,2007
-56.5,0,2007
-55.5,0,2007
-54.5,0,2007
-53.5,0,2007
-52.65648298,1,2007
-51.5,0,2007
-50.5,0,2007
-49.5,0,2007
-48.5,0,2007
-47.5,0,2007
-46.5,0,2007
-45.5,0,2007
-44.5,0,2007
-43.5,0,2007
-42.5,0,2007
-41.5,0,2007
-40.5,0,2007
-39.5,0,2007
-38.99981055,1,2007
-37.5,0,2007
-36.5,0,2007
-35.5,0,2007
-34.5,0,2007
-33.5,0,2007
-32.5,0,2007
-31.5,0,2007
-30.5,0,2007
-29.64058422,1,2007
-28.5,0,2007
-27.5,0,2007
-26.5,0,2007
-25.5,0,2007
-24.5,0,2007
-23.5,0,2007
-22.5,0,2007
-21.5,0,2007
-20.5,0,2007
-19.5,0,2007
-18.5,0,2007
-17.5,0,2007
-16.5,0,2007
-15.5,0,2007
-14.5,0,2007
-13.5,0,2007
-12.5,0,2007
-11.5,0,2007
-10.5,0,2007
-9.5,0,2007
-8.5,0,2007
-7.5,0,2007
-6.5,0,2007
-5.146091856,1,2007
-4.217799916,1,2007
-3.5,0,2007
-2.5,0,2007
-1.5,0,2007
-0.5,0,2007
0.5,0,2007
1.5,0,2007
2.5,0,2007
3.5,0,2007
4.5,0,2007
5.5,0,2007
6.5,0,2007
7.5,0,2007
8.5,0,2007
9.5,0,2007
10.68153092,1,2007
11.5,0,2007
12.5,0,2007
13.5,0,2007
14.5,0,2007
15.5,0,2007
16.5,0,2007
17.5,0,2007
18.5,0,2007
19.5,0,2007
20.5,0,2007
21.5,0,2007
22.5,0,2007
23.5,0,2007
24.51520494,1,2007
25.5,0,2007
26.5,0,2007
27.5,0,2007
28.5,0,2007
29.61131446,1,2007
30.5,0,2007
31.5,0,2007
32.5,0,2007
33.5,0,2007
34.5,0,2007
35.5,0,2007
36.5,0,2007
37.5,0,2007
38.5,0,2007
39.88583461,2,2007
40.7526293,1,2007
41.5,0,2007
42.36486574,1,2007
43.93133901,2,2007
44.83115728,1,2007
45.96628346,1,2007
46.76180244,7,2007
47.62960049,1,2007
48.13564817,1,2007
49.59458273,2,2007
50.64777069,1,2007
51.48151293,3,2007
52.37297901,1,2007
53.20048127,3,2007
54.3261644,4,2007
55.48041876,9,2007
56.54920218,6,2007
57.60511612,6,2007
58.4492246,4,2007
59.59595183,7,2007
60.27513051,9,2007
61.31473566,12,2007
62.78057101,3,2007
63.36429406,9,2007
64.42216914,6,2007
65.4628804,15,2007
66.57922907,9,2007
67.34270453,9,2007
68.61480917,13,2007
69.50359254,12,2007
70.60888467,14,2007
71.56336133,23,2007
72.54110579,16,2007
73.58786634,21,2007
74.60804205,22,2007
75.48322177,24,2007
76.56039701,32,2007
77.54062349,33,2007
78.4900352,37,2007
79.51272644,17,2007
80.51907722,27,2007
81.55327218,35,2007
82.50976693,27,2007
83.50238256,30,2007
84.4944935,25,2007
85.52761563,26,2007
86.51677135,25,2007
87.55332893,24,2007
88.63133018,13,2007
89.59875982,17,2007
90.52326773,25,2007
91.4218333,20,2007
92.41979527,17,2007
93.43755399,21,2007
94.6064185,13,2007
95.47137943,12,2007
96.45101506,8,2007
97.4920247,10,2007
98.44316751,12,2007
99.53625087,9,2007
100.5692652,10,2007
101.6134842,13,2007
102.4688789,12,2007
103.4100817,3,2007
104.3640751,3,2007
105.469415,6,2007
106.4611947,4,2007
107.447623,6,2007
108.6139729,5,2007
109.4468689,3,2007
110.5004438,4,2007
111.6851044,3,2007
112.6251098,4,2007
113.1701818,3,2007
114.3216407,2,2007
115.4420655,3,2007
116.6788179,2,2007
117.8261503,2,2007
118.3824045,3,2007
119.5,0,2007
120.4915233,3,2007
121.5550756,2,2007
122.5,0,2007
123.2647827,5,2007
124.1167033,1,2007
125.5,0,2007
126.5,0,2007
127.1706868,1,2007
128.5,0,2007
129.5,0,2007
130.5,0,2007
131.0463931,1,2007
132.4436727,1,2007
133.5,0,2007
134.5,0,2007
135.5,0,2007
136.7584075,1,2007
-1.970932533,1,2008
-0.5,0,2008
0.5,0,2008
1.5,0,2008
2.5,0,2008
3.5,0,2008
4.5,0,2008
5.5,0,2008
6.5,0,2008
7.5,0,2008
8.5,0,2008
9.5,0,2008
10.5,0,2008
11.5,0,2008
12.5,0,2008
13.5,0,2008
14.5,0,2008
15.87637442,1,2008
16.5,0,2008
17.5,0,2008
18.5,0,2008
19.5,0,2008
20.5,0,2008
21.5,0,2008
22.5,0,2008
23.5,0,2008
24.70279469,1,2008
25.5,0,2008
26.5,0,2008
27.5,0,2008
28.5,0,2008
29.5,0,2008
30.5,0,2008
31.5,0,2008
32.5,0,2008
33.5,0,2008
34.5,0,2008
35.5,0,2008
36.89316222,1,2008
37.5,0,2008
38.5,0,2008
39.5,0,2008
40.5,0,2008
41.5,0,2008
42.79073924,1,2008
43.5,0,2008
44.13954388,1,2008
45.5,0,2008
46.5,0,2008
47.40082818,1,2008
48.5,0,2008
49.5,0,2008
50.5,0,2008
51.80710614,1,2008
52.5,0,2008
53.73054383,1,2008
54.2961985,2,2008
55.5,0,2008
56.5,0,2008
57.48739463,1,2008
58.2891903,1,2008
59.96403613,1,2008
60.35769304,3,2008
61.64121554,8,2008
62.39216884,4,2008
63.28816364,2,2008
64.37309181,4,2008
65.51304557,1,2008
66.41224357,4,2008
67.54625777,9,2008
68.38458308,5,2008
69.6850809,6,2008
70.59729286,14,2008
71.72429312,11,2008
72.55101758,12,2008
73.58010755,10,2008
74.44498955,11,2008
75.52456309,12,2008
76.49316126,15,2008
77.5418862,19,2008
78.49954391,17,2008
79.55675012,23,2008
80.49870404,17,2008
81.47966188,22,2008
82.42442222,22,2008
83.52918726,18,2008
84.50976937,16,2008
85.53163593,19,2008
86.46063638,15,2008
87.49234408,21,2008
88.60412639,19,2008
89.36232525,20,2008
90.45081269,19,2008
91.52705194,25,2008
92.53469871,23,2008
93.45130953,25,2008
94.45924616,25,2008
95.52729404,13,2008
96.55249119,20,2008
97.49081199,15,2008
98.48366979,20,2008
99.51698023,25,2008
100.5120882,20,2008
101.4662992,23,2008
102.4361136,23,2008
103.4607351,25,2008
104.6346897,11,2008
105.5993953,17,2008
106.5316307,6,2008
107.3648912,18,2008
108.441128,13,2008
109.5738542,8,2008
110.4835237,19,2008
111.5783954,11,2008
112.5445921,8,2008
113.4767957,13,2008
114.5409629,12,2008
115.4072247,13,2008
116.3582851,13,2008
117.3427577,7,2008
118.6434665,12,2008
119.4816289,8,2008
120.3895016,5,2008
121.6011437,6,2008
122.2159133,2,2008
123.9944097,1,2008
124.305675,4,2008
125.5,0,2008
126.4790126,3,2008
127.630745,4,2008
128.5,0,2008
129.8777928,1,2008
130.2628985,2,2008
131.5201329,3,2008
132.3764511,2,2008
133.5,0,2008
134.7479593,1,2008
135.5,0,2008
136.5,0,2008
137.5,0,2008
138.5,0,2008
139.5,0,2008
140.5,0,2008
141.5,0,2008
142.5,0,2008
143.5,0,2008
144.5,0,2008
145.5,0,2008
146.5,0,2008
147.5,0,2008
148.5,0,2008
149.5,0,2008
150.5,0,2008
151.5,0,2008
152.5,0,2008
153.5,0,2008
154.5,0,2008
155.5,0,2008
156.0431862,1,2008
157.5,0,2008
158.0434977,1,2008
159.5,0,2008
160.5,0,2008
161.5,0,2008
162.5,0,2008
163.5,0,2008
164.5,0,2008
165.5,0,2008
166.5,0,2008
167.5,0,2008
168.2456544,1,2008
-27.97186457,2,2009
-26.5,0,2009
-25.5,0,2009
-24.5,0,2009
-23.5,0,2009
-22.5,0,2009
-21.5,0,2009
-20.5,0,2009
-19.01368836,1,2009
-18.5,0,2009
-17.5,0,2009
-16.66605704,1,2009
-15.5,0,2009
-14.5,0,2009
-13.5,0,2009
-12.5,0,2009
-11.5,0,2009
-10.5,0,2009
-9.5,0,2009
-8.5,0,2009
-7.5,0,2009
-6.5,0,2009
-5.5,0,2009
-4.5,0,2009
-3.870067027,1,2009
-2.5,0,2009
-1.5,0,2009
-0.5,0,2009
0.5,0,2009
1.5,0,2009
2.5,0,2009
3.5,0,2009
4.5,0,2009
5.318504428,1,2009
6.5,0,2009
7.166669121,2,2009
8.5,0,2009
9.5,0,2009
10.5,0,2009
11.5,0,2009
12.5,0,2009
13.5,0,2009
14.5,0,2009
15.5,0,2009
16.5,0,2009
17.87960225,1,2009
18.5,0,2009
19.5,0,2009
20.5,0,2009
21.5,0,2009
22.5,0,2009
23.5,0,2009
24.5,0,2009
25.5,0,2009
26.9236836,1,2009
27.5,0,2009
28.5,0,2009
29.60123019,1,2009
30.09990335,1,2009
31.5,0,2009
32.5,0,2009
33.5,0,2009
34.5,0,2009
35.5,0,2009
36.5,0,2009
37.35703379,3,2009
38.44582467,2,2009
39.5,0,2009
40.2593992,3,2009
41.5416754,1,2009
42.62447933,2,2009
43.34527659,4,2009
44.47943974,4,2009
45.19494609,3,2009
46.40689268,3,2009
47.3541506,6,2009
48.49727616,4,2009
49.71057827,8,2009
50.86719748,1,2009
51.37875663,3,2009
52.60222004,6,2009
53.63394237,15,2009
54.51780564,3,2009
55.39034741,5,2009
56.68639721,9,2009
57.65231151,7,2009
58.42847059,4,2009
59.51022755,6,2009
60.25063524,9,2009
61.62020213,6,2009
62.30737729,7,2009
63.30635269,6,2009
64.48611966,5,2009
65.30255292,4,2009
66.55734841,9,2009
67.5437792,4,2009
68.58113007,9,2009
69.36291289,5,2009
70.49182762,9,2009
71.53223407,5,2009
72.65899109,11,2009
73.48968729,12,2009
74.46224009,10,2009
75.46516206,11,2009
76.48750331,11,2009
77.53778178,14,2009
78.48819079,11,2009
79.4021638,12,2009
80.51224191,14,2009
81.51196463,34,2009
82.44028727,26,2009
83.46422681,35,2009
84.46441497,20,2009
85.54286172,31,2009
86.53620826,32,2009
87.514647,29,2009
88.56894587,21,2009
89.51863778,23,2009
90.55222102,26,2009
91.54048127,24,2009
92.4109163,16,2009
93.45846574,20,2009
94.37606369,18,2009
95.43725516,18,2009
96.59523642,15,2009
97.45888217,12,2009
98.45657089,13,2009
99.46096629,14,2009
100.6293974,12,2009
101.5729431,16,2009
102.555512,15,2009
103.755571,13,2009
104.4946333,8,2009
105.7034202,12,2009
106.7272288,9,2009
107.6358741,10,2009
108.4406448,10,2009
109.3889313,13,2009
110.4323994,12,2009
111.5279454,11,2009
112.3400226,14,2009
113.4980203,11,2009
114.4560473,8,2009
115.4726243,5,2009
116.6463557,4,2009
117.6213483,7,2009
118.4404077,3,2009
119.5355969,5,2009
120.6956542,3,2009
121.4842669,3,2009
122.4043025,2,2009
123.1979095,4,2009
124.5716812,2,2009
125.3781595,2,2009
126.3418644,1,2009
127.1476375,1,2009
128.9324329,1,2009
129.4870184,2,2009
130.418084,1,2009
131.2487958,2,2009
132.5,0,2009
133.4257519,2,2009
134.5,0,2009
135.5,0,2009
136.5,0,2009
137.4964108,2,2009
138.5,0,2009
139.5,0,2009
140.7145269,1,2009
-98.01425203,1,2010
-97,0,2010
-95,0,2010
-93,0,2010
-90.58052325,1,2010
-89,0,2010
-87.42360532,1,2010
-85.31785873,1,2010
-83,0,2010
-81,0,2010
-79,0,2010
-76.87336366,1,2010
-75,0,2010
-73,0,2010
-71,0,2010
-68.05594294,1,2010
-67,0,2010
-64.52820016,1,2010
-63,0,2010
-60.24126992,1,2010
-59,0,2010
-57,0,2010
-55.67793684,1,2010
-52.06246607,1,2010
-51,0,2010
-49.04821354,2,2010
-47.43896961,3,2010
-45,0,2010
-43,0,2010
-41,0,2010
-38.73852579,1,2010
-37,0,2010
-35,0,2010
-33,0,2010
-31,0,2010
-28.79254047,4,2010
-27,0,2010
-25.17971557,1,2010
-23,0,2010
-20.80263645,6,2010
-19,0,2010
-17.09090816,1,2010
-15,0,2010
-13,0,2010
-11.27636064,1,2010
-9,0,2010
-7.787081986,2,2010
-4.903755177,1,2010
-2.465603944,1,2010
-0.599170975,1,2010
1,0,2010
3,0,2010
5,0,2010
6.693236359,2,2010
8.502251202,1,2010
11,0,2010
13,0,2010
15.17833796,1,2010
17,0,2010
19,0,2010
21,0,2010
23,0,2010
25.14334375,2,2010
27.89515893,2,2010
28.72109344,3,2010
31.43908154,1,2010
32.84941607,1,2010
35,0,2010
37.89473492,1,2010
38.28436861,1,2010
41.1970321,3,2010
43.30619399,2,2010
45.13011501,6,2010
46.72747484,2,2010
48.84038843,5,2010
51.11511573,1,2010
53.41537717,2,2010
55.38914097,9,2010
57.11461162,12,2010
59.32571253,14,2010
61.14543487,10,2010
63.17161697,11,2010
65.17283542,24,2010
66.99504592,35,2010
69.0724448,26,2010
70.98592491,50,2010
72.92812286,54,2010
75.01133174,63,2010
77.02578649,77,2010
78.91508229,74,2010
