system:index,median_plant,year,.geo
0,85.77075996,2004,
1,89.18525099,2005,
2,81.73182706,2006,
3,85.6901232,2007,
4,92.25217385,2008,
5,86.78828238,2009,
6,74.71599837,2010,
7,91.73993508,2011,
8,81.24765708,2012,
9,73.76410018,2013,
10,79.7437417,2014,
