DayOfYear,class,lat,lon,old_class,point_id,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,system:time_start,year
223,1,-12.72724003,-55.46452418,1,2466,1828,3274,699,1238,4781,5045,3164,1.28E+12,2011
218,0,-12.52068714,-55.18907544,2,2467,1036,2095,333,644,3448,,2518,1.28E+12,2011
218,0,-12.50345195,-55.23858171,2,2468,866,2351,325,625,3145,,1990,1.28E+12,2011
218,0,-12.47764406,-55.24500002,2,2469,998,2262,272,634,3492,,2356,1.28E+12,2011
218,1,-12.47979846,-55.23427291,1,2470,1290,2545,402,829,3797,,2741,1.28E+12,2011
218,1,-12.49483436,-55.22134652,1,2471,1324,2456,430,857,3784,4223,2737,1.28E+12,2011
218,1,-12.49052557,-55.20200183,1,2472,1440,2626,472,940,3890,4314,2736,1.28E+12,2011
223,2,-12.54434063,-55.93790823,9,2473,1460,3002,684,1076,4052,,2395,1.28E+12,2011
223,2,-12.54864943,-55.95729781,9,2474,1439,2514,655,1107,3485,,2540,1.28E+12,2011
223,2,-12.7789007,-56.09284534,9,2475,2076,3574,731,1334,4939,5036,3157,1.28E+12,2011
223,1,-12.80255419,-56.03476637,1,2476,2287,3929,892,1513,5180,5193,3237,1.28E+12,2011
223,1,-12.81978937,-56.03045757,1,2477,1849,3285,645,1198,4800,,3207,1.28E+12,2011
221,2,-12.91875703,-56.15958679,9,2478,1864,2923,601,1155,4587,,3371,1.28E+12,2011
221,1,-12.90372112,-56.1574324,1,2479,936,2763,341,711,4326,,2511,1.28E+12,2011
221,1,-12.92522022,-56.14235161,1,2480,2331,3963,815,1507,5242,,3436,1.28E+12,2011
221,2,-12.94030101,-56.1574324,9,2481,2367,4049,835,1542,5316,,3398,1.28E+12,2011
221,2,-12.97041769,-56.1488148,9,2482,2013,2883,611,1197,3976,,3510,1.28E+12,2011
221,2,-13.00053438,-56.08853655,9,2483,2090,3295,657,1383,4601,,3721,1.28E+12,2011
223,2,-13.01992396,-56.09069095,9,2484,1723,3074,594,1137,4402,,3066,1.28E+12,2011
223,2,-13.00915197,-56.05626546,9,2485,1157,3144,524,856,3930,3226,1818,1.28E+12,2011
221,2,-12.93814661,-56.09499974,3,2486,1822,3403,643,1125,4761,,3300,1.28E+12,2011
221,2,-12.92952902,-56.10792613,9,2487,2092,3687,743,1352,4994,,3329,1.28E+12,2011
221,2,-12.92737462,-56.09930854,9,2488,1725,3537,644,1064,4939,4838,3230,1.28E+12,2011
221,2,-12.92522022,-56.09284534,9,2489,1825,3378,628,1115,4370,4592,3383,1.28E+12,2011
221,2,-12.92306582,-56.08211824,3,2490,1914,2882,606,1114,3923,4244,3306,1.28E+12,2011
221,2,-12.91444823,-56.09930854,9,2491,2392,4128,808,1540,5491,,3475,1.28E+12,2011
221,2,-12.91660263,-56.10792613,9,2492,1877,3663,806,1288,5338,,3135,1.28E+12,2011
223,1,-13.00915197,-55.95945221,1,2493,1787,3018,641,1133,4257,,3046,1.28E+12,2011
223,1,-12.98765287,-55.97879691,1,2494,2014,3447,787,1343,4815,,3092,1.28E+12,2011
223,1,-12.96826329,-55.963761,1,2495,1686,2862,594,1100,4143,4629,3049,1.28E+12,2011
223,1,-13.04573185,-55.94868022,1,2496,1530,2695,474,940,4231,,2798,1.28E+12,2011
223,0,-13.03280546,-55.95083462,2,2497,1732,2975,614,1138,4292,4756,3094,1.28E+12,2011
223,0,-13.02849667,-55.94652582,2,2498,1774,2982,560,1093,4034,,3091,1.28E+12,2011
221,1,-13.47611771,-57.83588787,1,2499,2282,3918,782,1460,5174,,3168,1.28E+12,2011
221,1,-13.47827211,-57.85096865,1,2500,2177,3634,769,1396,4922,,3205,1.28E+12,2011
221,2,-13.52346958,-57.84235106,9,2501,1437,2817,718,1009,3836,,2217,1.28E+12,2011
221,2,-13.52131518,-57.83373347,9,2502,1390,2814,545,852,4264,,2977,1.28E+12,2011
221,2,-13.53635108,-57.83804226,9,2503,1662,3157,595,995,4516,4518,3024,1.28E+12,2011
221,1,-13.55358626,-57.83157907,1,2504,1619,2902,614,1097,3951,4148,2781,1.28E+12,2011
221,2,-13.58801175,-57.91981962,9,2505,1619,2407,503,922,3529,,3016,1.28E+12,2011
221,1,-13.59016614,-57.93485552,1,2506,1568,2310,473,873,3399,,3216,1.28E+12,2011
221,2,-13.56646777,-57.94347311,9,2507,1609,2391,506,903,3425,3762,2960,1.28E+12,2011
221,2,-13.57077656,-57.96070829,3,2508,1501,2514,537,960,3813,4493,3132,1.28E+12,2011
221,2,-13.57939415,-57.94347311,9,2509,1627,2325,473,884,3335,3786,3290,1.28E+12,2011
221,2,-13.59232054,-57.9477819,9,2510,1539,2275,459,829,3506,,3091,1.28E+12,2011
221,2,-13.57293096,-57.98220739,4,2511,1411,2651,558,993,3996,4216,2568,1.28E+12,2011
221,1,-13.54065988,-57.81865268,1,2512,1098,2576,476,788,3352,,1451,1.28E+12,2011
223,1,-13.52346958,-57.80792558,1,2513,1161,2538,441,813,3489,,2403,1.28E+12,2011
223,2,-13.52988789,-57.81223437,9,2514,1060,2402,457,730,3209,2903,1892,1.28E+12,2011
221,0,-13.52346958,-57.81649828,2,2515,1383,2857,574,906,3913,,2432,1.28E+12,2011
221,2,-13.52346958,-57.82511588,9,2516,1669,3111,615,997,4267,,2985,1.28E+12,2011
223,1,-13.47396331,-57.82296148,1,2517,1686,2736,585,1081,4256,,2946,1.28E+12,2011
223,1,-13.38356837,-57.82296148,1,2518,1917,3352,662,1221,4327,4414,2844,1.28E+12,2011
221,2,-13.26090234,-58.00375137,3,2519,1938,3270,718,1242,4476,4857,3229,1.28E+12,2011
221,2,-13.27167433,-58.00159697,9,2520,1577,2984,617,1064,4114,,2968,1.28E+12,2011
223,2,-13.26090234,-57.99513377,9,2521,1539,2706,602,1003,3830,,2555,1.28E+12,2011
